Games,Year,City,Country,Continent
I, 1896, Athens, Greece, Europe
III, 1904, St. Louis, United States, North America
V, 1912, Stockholm, Sweden,Europe
VIII, 1924, Paris, France,Europe
X, 1932, Los Angeles, United States,North America
XIV, 1948, London, United Kingdom,Europe
XVI, 1956, Melbourne, Australia,Australia
XVIII, 1964, Tokyo, Japan,Asia
XX, 1972,Munich, West Germany,Europe
XXII, 1980,Moscow, Soviet Union,Asia
XXIV, 1988,Seoul, South Korea,Asia
XXVI, 1996,Atlanta, United States,North America
II,1900,Paris,France,Europe
IV,1908,London,United Kingdom,Europe
VII,1920,Antwerp,Belgium,Europe
IX,1928,Amsterdam,Netherlands,Europe
XI,1936,Berlin,Germany,Europe
XV,1952,Helsinki,Finland,Europe
XVII,1960,Rome,Italy,Europe
XIX,1968,Mexico City,Mexico,North America
XXI,1976,Montreal,Canada,North America
XXIII,1984,Los Angeles,United States,North America
XXV,1992,Barcelona,Spain,Europe
XXVII,2000,Sydney,Australia,Australia
XXVIII,2004,Athens,Greece,
XXIX,2008,Beijing,China,Asia
XXX,2012,London,United Kingdom,Europe
