Session,Temp,Fave,Mave,,,
1,19.100,11.857,11.357,,,
2,19.350,7.667,12.133,,,
3,19.100,8.857,11.286,,,
4,20.250,7.917,11.556,,,
5,22.350,10.750,12.429,,,
6,24.950,8.533,11.143,,,
7,24.630,11.000,12.177,,,
8,26.330,10.000,12.357,,,
9,31.500,11.417,10.800,,,
10,30.300,10.100,12.385,,,
11,31.670,9.800,11.429,,,
12,32.570,10.444,11.600,,,
13,17.100,8.875,12.294,,,
14,27.790,11.889,11.929,,,
15,28.260,9.667,8.000,,,
16,20.000,7.667,8.917,,,
17,24.480,8.222,11.462,,,
18,30.650,11.250,11.882,,,
19,17.830,9.000,13.563,,,
20,18.160,7.000,9.546,,,
21,16.190,7.429,14.063,,,
22,22.910,9.900,11.546,,,
23,30.230,9.444,11.200,,,
24,22.740,10.600,13.385,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
