Name,Team,Base_Salary,Signing_Bonus,Other_Bonus,Total_Salary,Cap_Value,Percentage,Rating,SqrtRating
"   Adibi, Xavier ",Texans ,295000,452500,0,747500,408125,0,5.44,2.3324
"   Alexander, Eric ",Patriots ,520000,0,5160,525160,525160,0.982557697,0.06,0.2449
"   Allred, Colin ",Titans ,370000,0,6720,376720,376720,1.78381822,0.00,0.0000
"   Alston, Jon ",Raiders ,445000,0,4920,449920,449920,1.093527738,5.31,2.3043
"   Amato, Kenneth ",Titans ,627500,600010,106480,733980,928982,14.50720728,0.31,0.5568
"   Anderson, Charlie ",Dolphins ,950000,2500000,50000,3500000,1833333,1.428571429,5.00,2.2361
"   Anderson, James ",Panthers ,445000,487200,5880,450880,613280,1.304116395,0.44,0.6633
"   Ayanbadejo, Brendon ",Ravens ,615000,1900000,5160,2520160,1095160,0.204748905,3.81,1.9519
"   Ayodele, Akin ",Dolphins ,2500000,5000000,2640,2502640,2502640,0.105488604,12.94,3.5972
"   Bailey, Boss ",Broncos ,605000,4300000,200000,5105000,1565000,3.917727718,6.62,2.5729
"   Banta-Cain, Tully ",49ers ,1000000,0,1300000,2300000,2266666,56.52173913,2.44,1.5620
"   Barnes, Antwan ",Ravens ,370000,287000,2520,372520,468186,0.676473746,2.56,1.6000
"   Barnett, Nick ",Packers ,2000000,5100000,900000,2900000,4108571,31.03448276,7.06,2.6571
"   Barton, Eric ",Jets ,3200000,0,50000,3250000,4115000,1.538461538,16.00,4.0000
"   Beason, Jon ",Panthers ,870000,3000000,247900,1117900,1717900,22.17550765,21.94,4.6840
"   Beisel, Monty ",Cardinals ,900000,0,4920,904920,904920,0.54369447,2.38,1.5427
"   Bell, Beau ",Browns ,295000,493200,2420,790620,418300,0.306088892,0.69,0.8307
"   Bentley, Kevin ",Texans ,650000,600000,405760,1655760,1255760,24.50596705,8.50,2.9155
"   Biermann, Kroy ",Falcons ,295000,174750,0,469750,338687,0,3.19,1.7861
"   Bishop, Desmond ",Packers ,370000,94200,5880,375880,399430,1.564329041,6.06,2.4617
"   Black, Quincy ",Buccaneers ,370000,825000,29800,399800,581050,7.453726863,2.75,1.6583
"   Blackburn, Chase ",Giants ,545000,500000,104200,649200,674200,16.05052372,8.94,2.9900
"   Blackstock, Darryl ",Bengals ,520000,0,5520,525520,525520,1.050388187,2.12,1.4560
"   Blades, H.B. ",Redskins ,370000,106500,6120,376120,402745,1.627140274,6.94,2.6344
"   Boley, Michael ",Falcons ,2017000,0,3960,2020960,2020960,0.195946481,12.19,3.4914
"   Brackett, Gary ",Colts ,2055000,2675000,1440,2056440,2725190,0.070023925,19.38,4.4023
"   Bradley, Stewart ",Eagles ,370000,660000,6600,376600,541600,1.75252257,17.81,4.2202
"   Briggs, Lance ",Bears ,805000,4000000,4000000,8805000,5471666,45.42873367,25.00,5.0000
"   Brooking, Keith ",Falcons ,4900000,2700000,850000,5750000,7942226,14.7826087,13.44,3.6661
"   Brooks, Derrick ",Buccaneers ,3000000,0,106240,3106240,3756240,3.420212218,11.31,3.3630
"   Brown, Ricky ",Raiders ,445000,0,5880,450880,450880,1.304116395,5.12,2.2627
"   Bruschi, Tedy ",Patriots ,1000000,1200000,106720,2306720,1706720,4.626482625,6.62,2.5729
"   Bulluck, Keith ",Titans ,4250000,9710000,2003720,6253720,7862388,32.04044952,14.69,3.8328
"   Burnett, Kevin ",Cowboys ,520000,1150000,6720,526720,897345,1.27582017,7.06,2.6571
"   Campbell, Khary ",Redskins ,750000,315000,6120,756120,861120,0.809395334,1.69,1.3000
"   Carpenter, Bobby ",Cowboys ,590000,0,1900760,2490760,1760760,76.31245082,2.81,1.6763
"   Chillar, Brandon ",Packers ,1100000,550000,1900000,3550000,3256250,53.52112676,11.06,3.3257
"   Ciurciu, Vinny ",Vikings ,605000,562500,25000,630000,817500,3.968253968,1.75,1.3229
"   Clark, Danny ",Giants ,800000,200000,1100000,2100000,1500000,52.38095238,9.06,3.0100
"   Condo, Jon ",Raiders ,445000,0,5880,450880,450880,1.304116395,0.75,0.8660
