House,SalesPrice,AssessedValue
1,83.0,87.0
2,129.9,103.8
3,125.0,111.0
4,245.0,157.4
5,100.0,127.5
6,134.7,127.7
7,106.0,110.9
8,91.5,90.8
9,170.0,160.7
10,295.0,250.5
11,179.0,160.9
12,230.0,213.2
13,249.9,192.0
14,112.0,117.4
15,133.0,117.2
16,177.5,116.6
17,162.5,143.7
18,238.0,198.2
19,120.9,93.4
20,142.5,92.3
21,299.0,279.0
22,82.5,90.4
23,152.5,103.2
24,139.9,114.9
25,146.0,121.1
26,230.5,212.1
27,360.0,167.9
28,127.9,110.2
29,205.0,183.2
30,163.5,93.6
31,225.0,156.2
32,335.0,278.1
33,192.0,151.0
34,232.0,178.8
35,197.9,172.4
