Year,Count,Census (thousands)
1953,422,158956
1954,550,161884
1955,591,165069
1956,504,168088
1957,857,171187
1958,564,174149
1959,602,177135
1960,616,179979
1961,698,182992
1962,656,185771
1963,462,188483
1964,706,191141
1965,900,193526
1966,585,195576
1967,927,197457
1968,661,199399
1969,607,201385
1970,654,203984
1971,888,206827
1972,740,209284
1973,1104,211357
1974,951,213342
1975,918,215465
1976,837,217563
1977,854,219760
1978,789,222095
1979,859,224567
1980,866,227225
1981,782,229466
1982,1049,231664
1983,930,233792
1984,912,235825
1985,687,237924
1986,765,240133
1987,658,242289
1988,700,244499
1989,859,246819
1990,1140,249623
1991,1133,252981
1992,1302,256514
1993,1174,259919
1994,1085,263126
1995,1236,266278
1996,1172,269394
1997,1149,272647
1998,1428,275854
1999,1342,279040
2000,1073,282224
2001,1212,285318
2002,934,288369
2003,1385,290447
2004,1813,293191
2005,1262,295895
2006,1106,298754
2007,1100,301621
2008,1692,304059
2009,1146,308746
2010,1282,309322
2011,1691,311577
2012,938,313831
2013,906,315994
2014,886,318301
2015,1177,320635
2016,976,322941
2017,1429,324986
2018,1126,326688
2019,1276,328240
