Session,Temp,Sex,Ave,,,,
1,19.100,F,11.857,,,,
2,19.350,F,7.667,,,,
3,19.100,F,8.857,,,,
4,20.250,F,7.917,,,,
5,22.350,F,10.750,,,,
6,24.950,F,8.533,,,,
7,24.630,F,11.000,,,,
8,26.330,F,10.000,,,,
9,31.500,F,11.417,,,,
10,30.300,F,10.100,,,,
11,31.670,F,9.800,,,,
12,32.570,F,10.444,,,,
13,17.100,F,8.875,,,,
14,27.790,F,11.889,,,,
15,28.260,F,9.667,,,,
16,20.000,F,7.667,,,,
17,24.480,F,8.222,,,,
18,30.650,F,11.250,,,,
19,17.830,F,9.000,,,,
20,18.160,F,7.000,,,,
21,16.190,F,7.429,,,,
22,22.910,F,9.900,,,,
23,30.230,F,9.444,,,,
24,22.740,F,10.600,,,,
1,19.100,M,11.357,,,,
2,19.350,M,12.133,,,,
3,19.100,M,11.286,,,,
4,20.250,M,11.556,,,,
5,22.350,M,12.429,,,,
6,24.950,M,11.143,,,,
7,24.630,M,12.177,,,,
8,26.330,M,12.357,,,,
9,31.500,M,10.800,,,,
10,30.300,M,12.385,,,,
11,31.670,M,11.429,,,,
12,32.570,M,11.600,,,,
13,17.100,M,12.294,,,,
14,27.790,M,11.929,,,,
15,28.260,M,8.000,,,,
16,20.000,M,8.917,,,,
17,24.480,M,11.462,,,,
18,30.650,M,11.882,,,,
19,17.830,M,13.563,,,,
20,18.160,M,9.546,,,,
21,16.190,M,14.063,,,,
22,22.910,M,11.546,,,,
23,30.230,M,11.200,,,,
24,22.740,M,13.385,,,,
,,,,,,,
