Industry,Ticker1,Ratio,Profit,Lratio,Lprofit,CLRatio,CLProfit,Dummy1,Dummy2,CLRatioD1,CLRatioD2
TransCommUtilities,Xcel Energy Inc,120,479548.5327,4.787491743,13.08060038,-0.247201205,0.500583788,1,0,-0.247201205,0
TransCommUtilities,Verizon Communications Inc,142,479266.4093,4.955827058,13.0800119,-0.07886589,0.499995305,1,0,-0.07886589,0
TransCommUtilities,United Parcel Service Inc,274,133099.1189,5.613128106,11.79884938,0.578435159,-0.78116721,1,0,0.578435159,0
TransCommUtilities,Union Pacific Corp,166,460778.2435,5.111987788,13.04067217,0.077294841,0.460655577,1,0,0.077294841,0
TransCommUtilities,Sempra Energy,134,482820.846,4.8978398,13.08740094,-0.136853147,0.507384349,1,0,-0.136853147,0
TransCommUtilities,Public Service Enterprise Group Inc,80,548319.8146,4.382026635,13.214614,-0.652666313,0.634597404,1,0,-0.652666313,0
TransCommUtilities,PPL Corp,130,991245.1362,4.86753445,13.80671715,-0.167158497,1.22670055,1,0,-0.167158497,0
TransCommUtilities,Oneok Inc /NEW/,53,1060685.02,3.970291914,13.8744255,-1.064401034,1.294408908,1,0,-1.064401034,0
TransCommUtilities,"Nrg Energy, Inc.",80,520707.0707,4.382026635,13.16294292,-0.652666313,0.582926323,1,0,-0.652666313,0
TransCommUtilities,Nisource Inc/DE,51,213284.4037,3.931825633,12.27038178,-1.102867315,-0.309634813,1,0,-1.102867315,0
TransCommUtilities,Nextera Energy Inc,155,573357.1429,5.043425117,13.25926409,0.00873217,0.679247492,1,0,0.00873217,0
TransCommUtilities,"Kinder Morgan, Inc.",3.7,858952.0051,1.30833282,13.66346833,-3.726360128,1.083451731,1,0,-3.726360128,0
TransCommUtilities,Hunt J B Transport Services Inc,15,269422.1466,2.708050201,12.50403475,-2.326642746,-0.075981848,1,0,-2.326642746,0
TransCommUtilities,Firstenergy Corp,90,383620.4137,4.49980967,12.85740884,-0.534883277,0.277392241,1,0,-0.534883277,0
TransCommUtilities,Expeditors International Of Washington Inc,154,140556.9091,5.036952602,11.85336773,0.002259655,-0.726648862,1,0,0.002259655,0
TransCommUtilities,Exelon Corp,127,563126.4262,4.844187086,13.24125944,-0.190505861,0.661242845,1,0,-0.190505861,0
TransCommUtilities,Eversource Energy,127,487324.8392,4.844187086,13.0966862,-0.190505861,0.516669605,1,0,-0.190505861,0
TransCommUtilities,Edison International,62,594760.8019,4.127134385,13.29591459,-0.907558562,0.715897995,1,0,-0.907558562,0
TransCommUtilities,Duke Energy CORP,175,449277.3572,5.164785974,13.0153957,0.130093027,0.435379103,1,0,0.130093027,0
TransCommUtilities,Dominion Energy Inc /VA/,109,591234.5679,4.691347882,13.28996812,-0.343345065,0.709951523,1,0,-0.343345065,0
TransCommUtilities,DISH Network CORP,33,245412.5294,3.496507561,12.41069587,-1.538185386,-0.169320728,1,0,-1.538185386,0
TransCommUtilities,"Discovery Communications, Inc.",522,602428.5714,6.257667588,13.30872438,1.222974641,0.728707789,1,0,1.222974641,0
TransCommUtilities,Consolidated Edison Inc,96,391572.0608,4.564348191,12.87792484,-0.470344756,0.297908246,1,0,-0.470344756,0
TransCommUtilities,Cms Energy Corp,40.9,470196.1771,3.711130063,13.06090528,-1.323562884,0.480888689,1,0,-1.323562884,0
TransCommUtilities,"Centurylink, Inc",212,185352.9412,5.356586275,12.13001708,0.321893327,-0.449999518,1,0,0.321893327,0
TransCommUtilities,Cbs Corp,595,413700.7874,6.388561406,12.93289826,1.353868458,0.352881661,1,0,1.353868458,0
TransCommUtilities,C H Robinson Worldwide Inc,130,157094.998,4.86753445,11.96460598,-0.167158497,-0.615410611,1,0,-0.167158497,0
TransCommUtilities,At&T Inc.,366,413992.0635,5.902633333,12.93360208,0.867940386,0.353585487,1,0,0.867940386,0
TransCommUtilities,American Electric Power Co Inc,102,254194.4979,4.624972813,12.44585499,-0.409720134,-0.134161602,1,0,-0.409720134,0
TransCommUtilities,Alliant Energy Corp,54,269828.4561,3.988984047,12.50554169,-1.045708901,-0.074474907,1,0,-1.045708901,0
TransCommUtilities,"Alaska Air Group, Inc.",115.5,273521.7391,4.74927053,12.51913638,-0.285422417,-0.060880213,1,0,-0.285422417,0
Manufacturing,Zoetis Inc.,150,383913.0435,5.010635294,12.85817136,-0.024057653,0.278154762,0,1,0,-0.024057653
Manufacturing,"Zimmer Biomet Holdings, Inc.",87.7,312703.2967,4.473921899,12.65301009,-0.560771048,0.072993491,0,1,0,-0.560771048
Manufacturing,Xylem Inc.,151,114259.2593,5.017279837,11.64622535,-0.01741311,-0.933791246,0,1,0,-0.01741311
Manufacturing,Waters Corp /DE/,100,194573,4.605170186,12.17856269,-0.429522761,-0.401453902,0,1,0,-0.429522761
Manufacturing,Vertex Pharmaceuticals Inc / MA,81,962405.6522,4.394449155,13.77719132,-0.640243793,1.197174721,0,1,0,-0.640243793
Manufacturing,Valero Energy Corp/TX,117,454018.9715,4.762173935,13.02589426,-0.272519012,0.445877669,0,1,0,-0.272519012
Manufacturing,"Under Armour, Inc.",378,141691.3291,5.934894196,11.86140623,0.900201248,-0.718610363,0,1,0,0.900201248
Manufacturing,Thermo Fisher Scientific Inc.,324,134928.5714,5.780743516,11.81250082,0.746050569,-0.767515778,0,1,0,0.746050569
