Type,Grp,CUC
Single,1,1.23
Single,1,0.18
Single,1,0.45
Single,1,0.36
Single,1,0.01
Single,1,0.37
Single,1,0.64
Single,1,0.16
Single,1,0.46
Single,1,0.84
Social,2,0.77
Social,2,0.70
Social,2,0.85
Social,2,0.85
Social,2,0.48
Social,2,0.70
Social,2,0.66
Social,2,0.08
Social,2,0.87
Cigarette,3,0.23
Cigarette,3,0.52
Cigarette,3,0.14
Cigarette,3,0.23
Cigarette,3,0.12
Logo,4,0.45
Logo,4,0.62
Logo,4,0.32
Logo,4,0.47
Logo,4,0.68
Logo,4,0.35
Logo,4,0.27
Logo,4,0.92
Logo,4,0.58
Logo,4,1.08
Logo,4,0.54
