Group,Grp,Loss,,,,,,,,,,,,,,,,
Ctrl,1,5.3,,,,,,,,,,,,,,,,
Ctrl,1,3.9,,,,,,,,,,,,,,,,
Ctrl,1,16.5,,,,,,,,,,,,,,,,
Ctrl,1,-14.9,,,,,,,,,,,,,,,,
Ctrl,1,-0.3,,,,,,,,,,,,,,,,
Ctrl,1,-4.3,,,,,,,,,,,,,,,,
Ctrl,1,-30.4,,,,,,,,,,,,,,,,
Ctrl,1,-12.5,,,,,,,,,,,,,,,,
Ctrl,1,-15.4,,,,,,,,,,,,,,,,
Ctrl,1,-19.5,,,,,,,,,,,,,,,,
Ctrl,1,-6.5,,,,,,,,,,,,,,,,
Ctrl,1,13.4,,,,,,,,,,,,,,,,
Ctrl,1,-4.2,,,,,,,,,,,,,,,,
Ctrl,1,6.9,,,,,,,,,,,,,,,,
Ctrl,1,25.5,,,,,,,,,,,,,,,,
Ctrl,1,-0.3,,,,,,,,,,,,,,,,
Ctrl,1,-3.2,,,,,,,,,,,,,,,,
Ctrl,1,1.9,,,,,,,,,,,,,,,,
Ctrl,1,-6.6,,,,,,,,,,,,,,,,
Ctrl,1,-12.7,,,,,,,,,,,,,,,,
Ctrl,1,-1.2,,,,,,,,,,,,,,,,
Ctrl,1,-13.7,,,,,,,,,,,,,,,,
Ctrl,1,14.3,,,,,,,,,,,,,,,,
Ctrl,1,8.8,,,,,,,,,,,,,,,,
Ctrl,1,6.8,,,,,,,,,,,,,,,,
Ctrl,1,-7.1,,,,,,,,,,,,,,,,
Ctrl,1,-9.9,,,,,,,,,,,,,,,,
Ctrl,1,-5.6,,,,,,,,,,,,,,,,
Ctrl,1,15.5,,,,,,,,,,,,,,,,
Ctrl,1,4.8,,,,,,,,,,,,,,,,
Ctrl,1,6.1,,,,,,,,,,,,,,,,
Ctrl,1,-4.9,,,,,,,,,,,,,,,,
Ctrl,1,6.1,,,,,,,,,,,,,,,,
Ctrl,1,6.6,,,,,,,,,,,,,,,,
Ctrl,1,-4.5,,,,,,,,,,,,,,,,
Indiv,2,-6.8,,,,,,,,,,,,,,,,
Indiv,2,-4.8,,,,,,,,,,,,,,,,
Indiv,2,5.5,,,,,,,,,,,,,,,,
Indiv,2,11.9,,,,,,,,,,,,,,,,
Indiv,2,-9.0,,,,,,,,,,,,,,,,
Indiv,2,-4.7,,,,,,,,,,,,,,,,
Indiv,2,-9.1,,,,,,,,,,,,,,,,
Indiv,2,-15.1,,,,,,,,,,,,,,,,
Indiv,2,-1.6,,,,,,,,,,,,,,,,
Indiv,2,-3.8,,,,,,,,,,,,,,,,
Indiv,2,7.3,,,,,,,,,,,,,,,,
Indiv,2,-6.3,,,,,,,,,,,,,,,,
Indiv,2,12.4,,,,,,,,,,,,,,,,
Indiv,2,-0.9,,,,,,,,,,,,,,,,
Indiv,2,-1.9,,,,,,,,,,,,,,,,
Indiv,2,-18.3,,,,,,,,,,,,,,,,
Indiv,2,6.9,,,,,,,,,,,,,,,,
Indiv,2,-17.8,,,,,,,,,,,,,,,,
Indiv,2,10.4,,,,,,,,,,,,,,,,
Indiv,2,-23.5,,,,,,,,,,,,,,,,
Indiv,2,8.0,,,,,,,,,,,,,,,,
Indiv,2,-5.7,,,,,,,,,,,,,,,,
Indiv,2,0.5,,,,,,,,,,,,,,,,
Indiv,2,-2.1,,,,,,,,,,,,,,,,
Indiv,2,-5.0,,,,,,,,,,,,,,,,
Indiv,2,-8.4,,,,,,,,,,,,,,,,
Indiv,2,0.2,,,,,,,,,,,,,,,,
Indiv,2,12.0,,,,,,,,,,,,,,,,
Indiv,2,-5.6,,,,,,,,,,,,,,,,
Indiv,2,-1.6,,,,,,,,,,,,,,,,
Indiv,2,-10.7,,,,,,,,,,,,,,,,
Indiv,2,-4.0,,,,,,,,,,,,,,,,
Indiv,2,-11.0,,,,,,,,,,,,,,,,
Indiv,2,-12.1,,,,,,,,,,,,,,,,
Indiv,2,-15.1,,,,,,,,,,,,,,,,
Grp,3,-11.4,,,,,,,,,,,,,,,,
Grp,3,-7.3,,,,,,,,,,,,,,,,
Grp,3,-19.8,,,,,,,,,,,,,,,,
Grp,3,-13.7,,,,,,,,,,,,,,,,
Grp,3,-9.0,,,,,,,,,,,,,,,,
Grp,3,-22.4,,,,,,,,,,,,,,,,
Grp,3,-9.6,,,,,,,,,,,,,,,,
Grp,3,1.1,,,,,,,,,,,,,,,,
Grp,3,-2.6,,,,,,,,,,,,,,,,
Grp,3,-0.4,,,,,,,,,,,,,,,,
Grp,3,-2.5,,,,,,,,,,,,,,,,
Grp,3,-1.0,,,,,,,,,,,,,,,,
Grp,3,-2.2,,,,,,,,,,,,,,,,
Grp,3,-32.1,,,,,,,,,,,,,,,,
Grp,3,-30.5,,,,,,,,,,,,,,,,
Grp,3,-4.1,,,,,,,,,,,,,,,,
Grp,3,-18.1,,,,,,,,,,,,,,,,
Grp,3,-5.5,,,,,,,,,,,,,,,,
Grp,3,-14.1,,,,,,,,,,,,,,,,
Grp,3,-18.2,,,,,,,,,,,,,,,,
Grp,3,-11.0,,,,,,,,,,,,,,,,
Grp,3,-19.0,,,,,,,,,,,,,,,,
Grp,3,3.1,,,,,,,,,,,,,,,,
Grp,3,-12.0,,,,,,,,,,,,,,,,
Grp,3,-24.4,,,,,,,,,,,,,,,,
Grp,3,-11.3,,,,,,,,,,,,,,,,
Grp,3,11.3,,,,,,,,,,,,,,,,
Grp,3,-5.2,,,,,,,,,,,,,,,,
Grp,3,-12.9,,,,,,,,,,,,,,,,
Grp,3,-18.6,,,,,,,,,,,,,,,,
Grp,3,19.4,,,,,,,,,,,,,,,,
Grp,3,-19.2,,,,,,,,,,,,,,,,
Grp,3,-23.9,,,,,,,,,,,,,,,,
Grp,3,-19.6,,,,,,,,,,,,,,,,
