Obs,Group,Grp,Coin,,,
1,Slow,0,80,,,
2,Slow,0,90,,,
3,Slow,0,100,,,
4,Slow,0,80,,,
5,Slow,0,100,,,
6,Slow,0,80,,,
7,Slow,0,100,,,
8,Slow,0,100,,,
10,Slow,0,80,,,
11,Slow,0,90,,,
12,Slow,0,100,,,
13,Slow,0,50,,,
14,Slow,0,100,,,
15,Slow,0,80,,,
16,Slow,0,80,,,
17,Slow,0,100,,,
19,Slow,0,70,,,
20,Slow,0,50,,,
21,Slow,0,80,,,
22,Slow,0,20,,,
23,Slow,0,100,,,
24,Slow,0,80,,,
25,Slow,0,36,,,
26,Slow,0,100,,,
27,Slow,0,100,,,
28,Slow,0,100,,,
29,Slow,0,100,,,
31,Slow,0,100,,,
32,Slow,0,90,,,
33,Slow,0,90,,,
34,Slow,0,100,,,
35,Slow,0,100,,,
36,Slow,0,80,,,
37,Slow,0,100,,,
38,Slow,0,100,,,
40,Slow,0,100,,,
41,Slow,0,100,,,
42,Slow,0,80,,,
43,Slow,0,100,,,
44,Slow,0,65,,,
45,Slow,0,60,,,
46,Slow,0,70,,,
47,Slow,0,100,,,
48,Slow,0,100,,,
49,Slow,0,100,,,
50,Slow,0,100,,,
51,Slow,0,90,,,
52,Slow,0,100,,,
53,Slow,0,80,,,
54,Slow,0,100,,,
55,Slow,0,50,,,
56,Slow,0,40,,,
57,Slow,0,60,,,
59,Slow,0,0,,,
60,Slow,0,100,,,
61,Slow,0,100,,,
62,Slow,0,100,,,
65,Slow,0,50,,,
67,Slow,0,70,,,
69,Slow,0,60,,,
70,Slow,0,70,,,
71,Slow,0,70,,,
72,Slow,0,80,,,
73,Slow,0,80,,,
74,Slow,0,80,,,
75,Slow,0,90,,,
76,Slow,0,80,,,
78,Slow,0,70,,,
79,Slow,0,100,,,
80,Slow,0,70,,,
81,Slow,0,35,,,
82,Slow,0,70,,,
83,Slow,0,70,,,
84,Slow,0,60,,,
85,Slow,0,50,,,
86,Slow,0,90,,,
87,Slow,0,85,,,
88,Slow,0,60,,,
89,Slow,0,50,,,
90,Slow,0,65,,,
91,Slow,0,20,,,
92,Slow,0,50,,,
94,Slow,0,70,,,
95,Slow,0,80,,,
96,Slow,0,60,,,
97,Slow,0,60,,,
98,Slow,0,80,,,
99,Slow,0,70,,,
100,Slow,0,80,,,
101,Slow,0,60,,,
102,Slow,0,70,,,
103,Slow,0,80,,,
104,Slow,0,50,,,
105,Slow,0,60,,,
107,Slow,0,50,,,
108,Slow,0,40,,,
109,Slow,0,60,,,
110,Slow,0,70,,,
111,Slow,0,80,,,
112,Slow,0,70,,,
113,Slow,0,70,,,
114,Slow,0,100,,,
115,Slow,0,80,,,
116,Slow,0,70,,,
117,Slow,0,100,,,
119,Slow,0,50,,,
120,Slow,0,70,,,
121,Slow,0,70,,,
122,Slow,0,70,,,
124,Slow,0,70,,,
125,Slow,0,40,,,
126,Slow,0,100,,,
127,Slow,0,100,,,
128,Slow,0,100,,,
129,Slow,0,100,,,
130,Slow,0,90,,,
131,Slow,0,100,,,
132,Slow,0,100,,,
133,Slow,0,90,,,
134,Slow,0,100,,,
135,Slow,0,100,,,
136,Slow,0,70,,,
137,Slow,0,70,,,
140,Slow,0,60,,,
141,Slow,0,100,,,
144,Fast,1,60,,,
145,Fast,1,100,,,
146,Fast,1,100,,,
147,Fast,1,60,,,
148,Fast,1,100,,,
149,Fast,1,50,,,
150,Fast,1,90,,,
151,Fast,1,80,,,
152,Fast,1,80,,,
153,Fast,1,60,,,
154,Fast,1,100,,,
155,Fast,1,80,,,
156,Fast,1,70,,,
157,Fast,1,50,,,
158,Fast,1,85,,,
159,Fast,1,100,,,
160,Fast,1,100,,,
161,Fast,1,70,,,
162,Fast,1,70,,,
163,Fast,1,100,,,
164,Fast,1,85,,,
165,Fast,1,60,,,
166,Fast,1,100,,,
167,Fast,1,100,,,
168,Fast,1,30,,,
169,Fast,1,100,,,
170,Fast,1,100,,,
171,Fast,1,50,,,
172,Fast,1,80,,,
173,Fast,1,30,,,
174,Fast,1,50,,,
175,Fast,1,80,,,
176,Fast,1,60,,,
177,Fast,1,85,,,
178,Fast,1,60,,,
179,Fast,1,55,,,
180,Fast,1,80,,,
181,Fast,1,60,,,
182,Fast,1,100,,,
183,Fast,1,100,,,
184,Fast,1,60,,,
185,Fast,1,50,,,
186,Fast,1,60,,,
187,Fast,1,50,,,
188,Fast,1,100,,,
189,Fast,1,10,,,
191,Fast,1,70,,,
193,Fast,1,50,,,
194,Fast,1,67,,,
196,Fast,1,40,,,
200,Fast,1,80,,,
201,Fast,1,60,,,
202,Fast,1,80,,,
203,Fast,1,20,,,
204,Fast,1,100,,,
205,Fast,1,80,,,
206,Fast,1,40,,,
207,Fast,1,95,,,
208,Fast,1,85,,,
209,Fast,1,90,,,
210,Fast,1,50,,,
211,Fast,1,60,,,
212,Fast,1,10,,,
213,Fast,1,50,,,
214,Fast,1,60,,,
215,Fast,1,70,,,
216,Fast,1,100,,,
217,Fast,1,80,,,
218,Fast,1,90,,,
219,Fast,1,30,,,
220,Fast,1,70,,,
221,Fast,1,100,,,
222,Fast,1,60,,,
223,Fast,1,70,,,
224,Fast,1,70,,,
225,Fast,1,60,,,
226,Fast,1,100,,,
227,Fast,1,20,,,
228,Fast,1,35,,,
229,Fast,1,60,,,
230,Fast,1,70,,,
231,Fast,1,80,,,
232,Fast,1,80,,,
233,Fast,1,50,,,
234,Fast,1,80,,,
235,Fast,1,65,,,
236,Fast,1,70,,,
237,Fast,1,15,,,
238,Fast,1,70,,,
239,Fast,1,70,,,
240,Fast,1,100,,,
241,Fast,1,70,,,
242,Fast,1,100,,,
243,Fast,1,80,,,
244,Fast,1,20,,,
245,Fast,1,50,,,
246,Fast,1,75,,,
247,Fast,1,35,,,
248,Fast,1,60,,,
249,Fast,1,100,,,
250,Fast,1,90,,,
251,Fast,1,100,,,
252,Fast,1,70,,,
253,Fast,1,90,,,
254,Fast,1,30,,,
255,Fast,1,40,,,
256,Fast,1,60,,,
257,Fast,1,95,,,
258,Fast,1,80,,,
259,Fast,1,70,,,
260,Fast,1,100,,,
261,Fast,1,60,,,
262,Fast,1,100,,,
263,Fast,1,80,,,
264,Fast,1,60,,,
265,Fast,1,40,,,
266,Fast,1,50,,,
271,No,2,100,,,
272,No,2,60,,,
273,No,2,100,,,
274,No,2,100,,,
275,No,2,50,,,
276,No,2,70,,,
277,No,2,80,,,
280,No,2,100,,,
281,No,2,100,,,
