Group,Sex,HR
Control,Female,159
Control,Female,183
Control,Female,140
Control,Female,140
Control,Female,125
Control,Female,155
Control,Female,148
Control,Female,132
Control,Female,158
Control,Female,136
Control,Female,154
Control,Female,169
Control,Female,147
Control,Female,183
Control,Female,167
Control,Female,151
Control,Female,166
Control,Female,134
Control,Female,131
Control,Female,164
Control,Female,164
Control,Female,169
Control,Female,127
Control,Female,126
Control,Female,141
Control,Female,163
Control,Female,152
Control,Female,150
Control,Female,151
Control,Female,162
Control,Female,148
Control,Female,162
Control,Female,136
Control,Female,134
Control,Female,133
Control,Female,110
Control,Female,168
Control,Female,140
Control,Female,191
Control,Female,137
Control,Female,144
Control,Female,163
Control,Female,145
Control,Female,149
Control,Female,148
Control,Female,141
Control,Female,142
Control,Female,145
Control,Female,166
Control,Female,162
Control,Female,111
Control,Female,150
Control,Female,175
Control,Female,162
Control,Female,151
Control,Female,142
Control,Female,127
Control,Female,160
Control,Female,138
Control,Female,141
Control,Female,154
Control,Female,175
Control,Female,168
Control,Female,173
Control,Female,151
Control,Female,139
Control,Female,144
Control,Female,145
Control,Female,175
Control,Female,147
Control,Female,143
Control,Female,105
Control,Female,182
Control,Female,157
Control,Female,135
Control,Female,150
Control,Female,146
Control,Female,151
Control,Female,143
Control,Female,162
Control,Female,161
Control,Female,155
Control,Female,154
Control,Female,176
Control,Female,152
Control,Female,135
Control,Female,118
Control,Female,132
Control,Female,166
Control,Female,143
Control,Female,131
Control,Female,136
Control,Female,168
Control,Female,148
Control,Female,139
Control,Female,132
Control,Female,155
Control,Female,145
Control,Female,125
Control,Female,153
Control,Female,156
Control,Female,145
Control,Female,121
Control,Female,126
Control,Female,140
Control,Female,143
Control,Female,145
Control,Female,146
Control,Female,163
Control,Female,162
Control,Female,154
Control,Female,151
Control,Female,138
Control,Female,156
Control,Female,152
Control,Female,163
Control,Female,160
Control,Female,130
Control,Female,166
Control,Female,177
Control,Female,148
Control,Female,170
Control,Female,169
Control,Female,131
Control,Female,168
Control,Female,161
Control,Female,132
Control,Female,135
Control,Female,144
Control,Female,152
Control,Female,154
Control,Female,136
Control,Female,144
Control,Female,162
Control,Female,136
Control,Female,115
Control,Female,108
Control,Female,167
Control,Female,133
Control,Female,118
Control,Female,160
Control,Female,160
Control,Female,137
Control,Female,137
Control,Female,143
Control,Female,140
Control,Female,145
Control,Female,134
Control,Female,142
Control,Female,146
Control,Female,142
Control,Female,164
Control,Female,164
Control,Female,196
Control,Female,154
Control,Female,143
Control,Female,143
Control,Female,127
Control,Female,146
Control,Female,136
Control,Female,135
Control,Female,157
Control,Female,165
Control,Female,173
Control,Female,157
Control,Female,155
Control,Female,138
Control,Female,146
Control,Female,147
Control,Female,138
Control,Female,123
Control,Female,170
Control,Female,165
Control,Female,151
Control,Female,166
Control,Female,142
Control,Female,114
Control,Female,107
Control,Female,170
Control,Female,150
Control,Female,142
Control,Female,143
Control,Female,132
Control,Female,125
Control,Female,152
Control,Female,132
Control,Female,136
Control,Female,153
Control,Female,159
Control,Female,160
Control,Female,140
Control,Female,142
Control,Female,150
Control,Female,125
Control,Female,124
Control,Female,136
Control,Female,157
Control,Female,152
Control,Female,129
Control,Female,169
Control,Male,127
Control,Male,99
Control,Male,157
Control,Male,102
Control,Male,97
Control,Male,122
Control,Male,128
Control,Male,136
Control,Male,142
Control,Male,127
Control,Male,127
Control,Male,157
Control,Male,125
Control,Male,113
Control,Male,131
Control,Male,114
Control,Male,143
Control,Male,133
Control,Male,143
Control,Male,128
Control,Male,137
Control,Male,143
Control,Male,134
Control,Male,107
Control,Male,137
Control,Male,153
Control,Male,95
Control,Male,144
Control,Male,134
Control,Male,129
Control,Male,131
Control,Male,152
Control,Male,109
Control,Male,95
Control,Male,96
Control,Male,134
Control,Male,131
Control,Male,128
Control,Male,115
Control,Male,125
Control,Male,156
Control,Male,134
Control,Male,102
Control,Male,161
Control,Male,130
Control,Male,169
Control,Male,91
Control,Male,146
Control,Male,115
Control,Male,120
Control,Male,97
Control,Male,131
Control,Male,152
Control,Male,118
Control,Male,112
Control,Male,77
Control,Male,123
Control,Male,122
Control,Male,135
Control,Male,90
Control,Male,119
Control,Male,124
Control,Male,133
Control,Male,153
Control,Male,112
Control,Male,128
Control,Male,112
Control,Male,128
Control,Male,155
Control,Male,123
Control,Male,116
Control,Male,138
Control,Male,124
Control,Male,155
Control,Male,96
Control,Male,149
Control,Male,128
Control,Male,115
Control,Male,105
Control,Male,157
Control,Male,124
Control,Male,125
Control,Male,150
Control,Male,139
Control,Male,125
Control,Male,139
Control,Male,137
Control,Male,128
Control,Male,115
Control,Male,114
Control,Male,145
Control,Male,143
Control,Male,133
Control,Male,114
Control,Male,109
Control,Male,108
Control,Male,145
Control,Male,140
Control,Male,128
Control,Male,129
Control,Male,130
Control,Male,152
Control,Male,110
Control,Male,106
Control,Male,130
Control,Male,113
Control,Male,129
Control,Male,161
Control,Male,143
Control,Male,164
Control,Male,134
Control,Male,122
Control,Male,138
Control,Male,125
Control,Male,134
Control,Male,149
Control,Male,126
Control,Male,124
Control,Male,136
Control,Male,137
Control,Male,125
Control,Male,130
Control,Male,172
Control,Male,162
Control,Male,130
Control,Male,127
Control,Male,128
Control,Male,115
Control,Male,143
Control,Male,121
Control,Male,153
Control,Male,119
Control,Male,143
Control,Male,132
Control,Male,108
Control,Male,125
Control,Male,133
Control,Male,119
Control,Male,126
Control,Male,146
Control,Male,150
Control,Male,133
Control,Male,115
Control,Male,157
Control,Male,158
Control,Male,102
Control,Male,117
Control,Male,138
Control,Male,138
Control,Male,146
Control,Male,127
Control,Male,116
Control,Male,140
Control,Male,150
Control,Male,114
Control,Male,134
Control,Male,168
Control,Male,143
Control,Male,158
Control,Male,151
Control,Male,142
Control,Male,129
Control,Male,121
Control,Male,118
Control,Male,136
Control,Male,134
Control,Male,119
Control,Male,144
Control,Male,132
Control,Male,124
Control,Male,95
Control,Male,120
Control,Male,118
Control,Male,133
Control,Male,107
Control,Male,130
Control,Male,139
Control,Male,120
Control,Male,131
Control,Male,149
Control,Male,150
Control,Male,115
Control,Male,142
Control,Male,154
Control,Male,129
Control,Male,134
Control,Male,131
Control,Male,134
Control,Male,108
Control,Male,144
Control,Male,120
Control,Male,127
Control,Male,160
Control,Male,152
Control,Male,137
Control,Male,109
Control,Male,121
Control,Male,135
Control,Male,134
Control,Male,127
Runners,Female,119
Runners,Female,84
Runners,Female,89
Runners,Female,119
Runners,Female,127
Runners,Female,111
Runners,Female,115
Runners,Female,109
Runners,Female,111
Runners,Female,120
Runners,Female,105
Runners,Female,104
Runners,Female,94
Runners,Female,126
Runners,Female,113
Runners,Female,141
Runners,Female,116
Runners,Female,104
Runners,Female,82
Runners,Female,164
Runners,Female,119
Runners,Female,110
Runners,Female,109
Runners,Female,106
Runners,Female,125
Runners,Female,106
Runners,Female,108
Runners,Female,122
Runners,Female,145
Runners,Female,115
Runners,Female,110
Runners,Female,92
Runners,Female,114
Runners,Female,121
Runners,Female,123
Runners,Female,128
Runners,Female,126
Runners,Female,119
Runners,Female,119
Runners,Female,121
Runners,Female,115
Runners,Female,118
Runners,Female,106
Runners,Female,128
Runners,Female,95
Runners,Female,126
Runners,Female,112
Runners,Female,118
Runners,Female,95
Runners,Female,114
Runners,Female,109
Runners,Female,136
Runners,Female,129
Runners,Female,139
Runners,Female,150
Runners,Female,112
Runners,Female,127
Runners,Female,126
Runners,Female,107
Runners,Female,117
Runners,Female,96
Runners,Female,135
Runners,Female,116
Runners,Female,111
Runners,Female,129
Runners,Female,130
Runners,Female,109
Runners,Female,100
Runners,Female,118
Runners,Female,133
Runners,Female,122
Runners,Female,144
Runners,Female,151
Runners,Female,89
Runners,Female,128
Runners,Female,140
Runners,Female,94
