TypeOf Pot,Type,Dish,DishID,Iron
Aluminum,1,Meat,1,1.77
Aluminum,1,Meat,1,2.36
Aluminum,1,Meat,1,1.96
Aluminum,1,Meat,1,2.14
Clay,2,Meat,1,2.27
Clay,2,Meat,1,1.28
Clay,2,Meat,1,2.48
Clay,2,Meat,1,2.68
Iron,3,Meat,1,5.27
Iron,3,Meat,1,5.17
Iron,3,Meat,1,4.06
Iron,3,Meat,1,4.22
Aluminum,1,Legumes,2,2.40
Aluminum,1,Legumes,2,2.17
Aluminum,1,Legumes,2,2.41
Aluminum,1,Legumes,2,2.34
Clay,2,Legumes,2,2.41
Clay,2,Legumes,2,2.43
Clay,2,Legumes,2,2.57
Clay,2,Legumes,2,2.48
Iron,3,Legumes,2,3.69
Iron,3,Legumes,2,3.43
Iron,3,Legumes,2,3.84
Iron,3,Legumes,2,3.72
Aluminum,1,Vegetable,3,1.03
Aluminum,1,Vegetable,3,1.53
Aluminum,1,Vegetable,3,1.07
Aluminum,1,Vegetable,3,1.30
Clay,2,Vegetable,3,1.55
Clay,2,Vegetable,3,0.79
Clay,2,Vegetable,3,1.68
Clay,2,Vegetable,3,1.82
Iron,3,Vegetable,3,2.45
Iron,3,Vegetable,3,2.99
Iron,3,Vegetable,3,2.80
Iron,3,Vegetable,3,2.92
