Tool,Time,Diam
1,1,25.030
1,1,25.030
1,1,25.032
1,2,25.028
1,2,25.028
1,2,25.028
1,3,25.026
1,3,25.026
1,3,25.026
2,1,25.016
2,1,25.018
2,1,25.016
2,2,25.022
2,2,25.020
2,2,25.018
2,3,25.016
2,3,25.016
2,3,25.016
3,1,25.005
3,1,25.008
3,1,25.006
3,2,25.012
3,2,25.012
3,2,25.014
3,3,25.010
3,3,25.010
3,3,25.008
4,1,25.012
4,1,25.012
4,1,25.012
4,2,25.018
4,2,25.020
4,2,25.020
4,3,25.010
4,3,25.014
4,3,25.018
5,1,24.996
5,1,24.998
5,1,24.998
5,2,25.006
5,2,25.006
5,2,25.006
5,3,25.000
5,3,25.002
5,3,24.999
