Species,Water,PctNitrogen
1,1,3.644
1,1,3.500
1,1,3.509
1,1,3.137
1,1,3.100
1,1,3.081
1,1,3.172
1,1,3.050
1,1,3.096
1,2,2.763
1,2,2.671
1,2,2.631
1,2,2.795
1,2,2.797
1,2,2.784
1,2,2.817
1,2,2.798
1,2,2.816
1,3,2.876
1,3,2.891
1,3,2.850
1,3,3.163
1,3,3.072
1,3,3.023
1,3,2.501
1,3,2.520
1,3,2.690
1,4,2.996
1,4,3.012
1,4,3.040
1,4,2.944
1,4,2.946
1,4,2.922
1,4,2.846
1,4,2.865
1,4,2.855
1,5,2.920
1,5,2.905
1,5,3.012
1,5,3.114
1,5,3.156
1,5,3.142
1,5,3.078
1,5,3.044
1,5,3.096
1,6,3.095
1,6,3.115
1,6,3.134
1,6,3.192
1,6,3.142
1,6,3.190
1,6,3.042
1,6,2.997
1,6,2.960
1,7,3.335
1,7,3.345
1,7,3.343
1,7,3.640
1,7,3.600
1,7,3.604
1,7,3.083
1,7,3.056
1,7,2.995
2,1,2.287
2,1,2.367
2,1,2.315
2,1,2.630
2,1,2.622
2,1,2.640
2,1,2.204
2,1,2.340
2,1,2.389
2,2,2.264
2,2,2.239
2,2,2.197
2,2,1.959
2,2,1.940
2,2,1.858
2,2,1.978
2,2,2.003
2,2,2.014
2,3,2.098
2,3,2.134
2,3,2.087
2,3,2.199
2,3,2.181
2,3,2.187
2,3,1.870
2,3,1.841
2,3,1.875
2,4,2.058
2,4,2.014
2,4,2.063
2,4,2.173
2,4,2.186
2,4,2.160
2,4,1.693
2,4,1.693
2,4,1.666
2,5,2.090
2,5,2.095
2,5,2.093
2,5,2.151
2,5,1.943
2,5,1.915
2,5,1.782
2,5,1.777
2,5,1.758
2,6,2.257
2,6,2.183
2,6,2.212
2,6,1.608
2,6,1.585
2,6,1.613
2,6,2.137
2,6,2.137
2,6,2.123
2,7,2.397
2,7,2.257
2,7,2.371
2,7,2.079
2,7,2.058
2,7,2.087
2,7,2.208
2,7,2.274
2,7,2.235
3,1,3.122
3,1,3.095
3,1,3.092
3,1,3.208
3,1,3.237
3,1,3.177
3,1,2.850
3,1,2.867
3,1,2.882
3,2,3.180
3,2,3.118
3,2,2.987
3,2,2.846
3,2,2.813
3,2,2.810
3,2,3.343
3,2,3.588
3,2,3.702
3,3,3.453
3,3,3.388
3,3,3.454
3,3,3.289
3,3,3.275
3,3,3.222
3,3,2.936
3,3,2.927
3,3,2.859
3,4,3.020
3,4,3.054
3,4,3.024
3,4,2.891
3,4,2.866
3,4,2.907
3,4,3.647
3,4,3.281
3,4,3.587
3,5,3.464
3,5,3.515
3,5,3.534
3,5,3.663
3,5,3.560
3,5,3.617
3,5,3.135
3,5,3.014
3,5,3.058
3,6,3.396
3,6,3.380
3,6,3.344
3,6,3.958
3,6,3.955
3,6,3.902
3,6,3.218
3,6,3.177
3,6,3.135
3,7,3.886
3,7,3.830
3,7,3.836
3,7,3.688
3,7,3.639
3,7,3.557
3,7,3.112
3,7,3.184
3,7,3.161
4,1,1.501
4,1,1.539
4,1,1.456
4,1,1.216
4,1,1.217
4,1,1.166
4,1,1.621
4,1,1.559
4,1,1.532
4,2,1.188
4,2,1.195
4,2,1.167
4,2,1.064
4,2,1.085
4,2,1.076
4,2,1.650
4,2,1.653
4,2,1.655
4,3,1.137
4,3,1.135
4,3,1.154
4,3,1.297
4,3,1.243
4,3,1.230
4,3,0.975
4,3,0.982
4,3,0.975
4,4,0.966
4,4,0.969
4,4,0.988
4,4,1.187
4,4,1.177
4,4,1.157
4,4,0.873
4,4,0.877
4,4,0.884
4,5,1.558
4,5,1.554
4,5,1.537
4,5,0.973
4,5,0.981
4,5,0.972
4,5,1.252
4,5,1.255
4,5,1.244
4,6,1.291
4,6,1.275
4,6,1.281
4,6,1.339
4,6,1.389
4,6,1.337
4,6,1.164
4,6,1.180
4,6,1.185
4,7,0.980
4,7,0.964
4,7,0.981
4,7,0.755
4,7,0.745
4,7,0.719
4,7,1.222
4,7,1.229
4,7,1.214
