Species,Water,FreshBiomass,DryBiomass
1,1,105.13,37.65
1,1,138.95,48.85
1,1,90.05,38.85
1,1,102.25,36.91
1,2,207.90,74.35
1,2,157.15,63.65
1,2,152.25,56.95
1,2,143.25,60.50
1,3,192.95,79.25
1,3,165.55,66.55
1,3,147.05,66.45
1,3,169.75,71.76
1,4,266.88,91.85
1,4,210.15,82.25
1,4,162.85,71.35
1,4,220.65,95.67
1,5,289.82,108.35
1,5,207.15,80.55
1,5,235.38,112.55
1,5,303.25,113.95
1,6,294.81,122.75
1,6,362.35,142.35
1,6,360.39,156.95
1,6,269.95,124.41
1,7,309.00,122.45
1,7,259.75,96.15
1,7,331.15,131.85
1,7,303.62,132.99
2,1,138.45,50.45
2,1,105.25,28.35
2,1,141.74,35.25
2,1,80.15,23.93
2,2,130.75,61.85
2,2,208.15,55.75
2,2,105.55,49.35
2,2,182.55,62.51
2,3,258.55,80.25
2,3,263.95,97.85
2,3,234.25,69.05
2,3,262.75,71.26
2,4,328.35,114.05
2,4,271.85,110.95
2,4,279.00,96.25
2,4,184.78,59.14
2,5,399.11,111.55
2,5,385.55,120.15
2,5,322.90,115.75
2,5,282.95,79.80
2,6,370.15,110.65
2,6,422.95,118.25
2,6,380.49,118.65
2,6,199.46,65.17
2,7,555.31,172.65
2,7,365.85,100.65
2,7,311.05,96.05
2,7,357.25,109.15
3,1,50.15,24.65
3,1,60.55,27.15
3,1,71.15,34.35
3,1,40.55,18.83
3,2,60.05,23.45
3,2,79.15,35.55
3,2,120.35,46.25
3,2,55.88,22.21
3,3,81.65,34.75
3,3,130.45,52.15
3,3,64.15,25.75
3,3,84.95,32.30
3,4,214.49,77.05
3,4,129.25,56.75
3,4,135.95,59.55
3,4,187.45,65.85
3,5,189.75,68.35
3,5,166.35,66.35
3,5,154.45,62.15
3,5,147.15,62.11
3,6,239.49,75.05
3,6,175.45,67.65
3,6,168.05,63.25
3,6,212.65,91.19
3,7,209.10,65.45
3,7,176.35,67.55
3,7,196.95,76.55
3,7,170.15,59.48
4,1,42.75,20.55
4,1,37.45,14.35
4,1,42.25,17.95
4,1,18.06,9.27
4,2,49.45,18.55
4,2,64.65,24.95
4,2,56.75,23.55
4,2,62.45,26.11
4,3,87.04,33.85
4,3,110.23,43.95
4,3,101.55,38.05
4,3,79.35,32.35
4,4,74.26,28.65
4,4,78.95,20.95
4,4,125.95,41.65
4,4,107.80,46.31
4,5,147.35,51.95
4,5,127.45,40.35
4,5,159.85,52.65
4,5,179.94,49.20
4,6,129.75,43.15
4,6,207.79,68.35
4,6,185.35,65.65
4,6,178.55,67.63
4,7,92.37,28.95
4,7,104.55,34.95
4,7,232.92,78.85
4,7,202.35,71.65
