ID,Reflectance
1,57.62746759
2,54.83248106
3,63.44216199
4,57.01707066
5,54.71892538
6,42.28909088
7,63.57178530
8,55.51962574
9,33.51702955
10,63.30091133
11,58.29478863
12,42.05201823
13,56.13528164
14,47.77985633
15,56.13078216
16,55.91323091
17,38.76455489
18,49.69956521
19,42.30468661
20,45.58125904
21,69.00163296
22,50.35694265
23,53.01545799
24,38.31248266
25,60.41295552
26,49.32215082
27,42.81745201
28,44.48882648
29,46.40152986
30,44.28921727
31,58.89362755
32,42.09230543
33,47.62289241
34,47.94141363
35,69.22989985
36,46.61046576
37,68.05260337
38,42.76179934
39,45.60810515
40,47.34811981
41,59.59920572
42,37.75868102
43,53.90581643
44,43.17078888
45,51.35673949
46,64.53373706
47,43.84910544
48,42.68202116
49,50.88708693
50,43.78793211
