Country,Sales,Production,DwellPermit
Australia,107.2,107.1,88.8
Belgium,98.9,108.5,134.8
Canada,110.9,109.7,117.8
Chile,108.3,101.8,84.2
Czech Republic,116.5,113.5,127.1
Estonia,107.0,111.9,125.1
Finland,106.5,111.4,133.4
France,109.8,103.0,114.2
Germany,107.4,105.7,115.6
Greece,102.1,108.8,175.9
Hungary,118.1,109.8,302.4
Israel,117.6,104.0,95.0
Korea,110.5,106.1,67.0
Luxembourg,35.3,102.6,120.0
Netherlands,107.6,103.1,133.7
Norway,100.9,96.7,117.8
Poland,119.4,116.1,136.1
Slovenia,125.1,120.9,115.5
Spain,105.5,105.4,191.8
