ProvinceOrTerritory,Population,PercentUnder5,PercentOver65,PopulationUnder5,PopulationOver65
Newfoundland and Labrador,528817,4.29,7.08,22695,37452
Prince Edward Island,152021,4.91,6.51,7468,9904
Nova Scotia,953869,4.49,6.56,42806,62601
New Brunswick,759655,4.56,6.68,34609,50742
Quebec,8394034,5.25,5.86,440381,491813
Ontario,14193384,5.13,5.30,727539,752449
Manitoba,1338109,6.44,4.92,86184,65873
Saskatchewan,1163925,6.63,4.73,77120,55103
Alberta,4286134,6.46,4.27,277015,183075
British Columbia,4817160,4.73,5.90,227629,284122
Yukon,38459,5.61,5.33,2158,2050
Northwest Territories,44520,6.83,3.03,3041,1350
Nunavut,37996,11.49,1.90,4366,721
