Decibels,Intensity,Intgrp
99.0,High,1
97.1,High,1
96.9,High,1
95.8,High,1
87.0,High,1
88.1,High,1
88.6,High,1
89.3,High,1
90.6,High,1
90.8,High,1
90.7,High,1
90.8,High,1
91.1,High,1
92.0,High,1
91.4,High,1
91.7,High,1
92.0,High,1
92.6,High,1
92.8,High,1
93.3,High,1
93.7,High,1
93.1,High,1
94.8,High,1
94.7,High,1
93.9,High,1
94.0,High,1
94.5,High,1
94.1,High,1
73.0,Low,0
81.8,Low,0
83.0,Low,0
84.4,Low,0
84.8,Low,0
85.1,Low,0
92.0,Low,0
90.5,Low,0
89.1,Low,0
88.9,Low,0
87.4,Low,0
87.3,Low,0
86.5,Low,0
86.3,Low,0
88.3,Low,0
