EastWest,Grp,DBH
e,0,23.5
e,0,43.5
e,0,6.6
e,0,11.5
e,0,17.2
e,0,38.7
e,0,2.3
e,0,31.5
e,0,10.5
e,0,23.7
e,0,13.8
e,0,5.2
e,0,31.5
e,0,22.1
e,0,6.7
e,0,2.6
e,0,6.3
e,0,51.1
e,0,5.4
e,0,9
e,0,43
e,0,8.7
e,0,22.8
e,0,2.9
e,0,22.3
e,0,43.8
e,0,48.1
e,0,46.5
e,0,39.8
e,0,10.9
w,1,17.2
w,1,44.6
w,1,44.1
w,1,35.5
w,1,51
w,1,21.6
w,1,44.1
w,1,11.2
w,1,36
w,1,42.1
w,1,3.2
w,1,25.5
w,1,36.5
w,1,39
w,1,25.9
w,1,20.8
w,1,3.2
w,1,57.7
w,1,43.3
w,1,58
w,1,21.7
w,1,35.6
w,1,30.9
w,1,40.6
w,1,30.7
w,1,35.6
w,1,18.2
w,1,2.9
w,1,20.4
w,1,11.4
