Year,Count
1953,422
1954,550
1955,591
1956,504
1957,857
1958,564
1959,602
1960,616
1961,698
1962,656
1963,462
1964,706
1965,900
1966,585
1967,927
1968,661
1969,607
1970,654
1971,888
1972,740
1973,1104
1974,951
1975,918
1976,837
1977,854
1978,789
1979,859
1980,866
1981,782
1982,1049
1983,930
1984,912
1985,687
1986,765
1987,658
1988,700
1989,859
1990,1140
1991,1133
1992,1302
1993,1174
1994,1085
1995,1236
1996,1172
1997,1149
1998,1428
1999,1342
2000,1073
2001,1212
2002,934
2003,1385
2004,1813
2005,1262
2006,1106
2007,1100
2008,1692
2009,1146
2010,1282
2011,1691
2012,938
2013,906
2014,886
2015,1177
2016,976
2017,1429
2018,1126
2019,1276
