University,Year2000,Year2008,Year2013,Year2014,Year2017 ,Year2018
Penn State,6756,13706,16992,17502,18436,18454
Pittsburgh,7002,13642,17100,17772,19080,19080
Michigan,6513,11037,13142,13486,14826,15262
Rutgers,6685,11540,13499,14297,14638,14974
Michigan State,5210,10214,12908,13813,14460,14460
Maryland,5136,7906,9161,9427,10399,10595
Illinois,4752,12240,14750,15020,15868,15094
Minnesota,4879,9373,13618,13626,14417,14693
Missouri,4726,8450,10104,11021,9787,12055
Buffalo,4710,6285,8426,8871,9828,10099
Indiana,4362,8231,10209,10388,10533,10681
Ohio State,4383,8679,10037,10037,10591,10726
Virginia,4335,9505,12458,12998,16781,17564
Cal-Davis,4072,8635,13902,15589,14382,14463
Cal-Berkeley,4047,7656,12864,12972,13928,14184
Cal-Irvine,4061,8046,13149,14757,15516,15614
Purdue,3872,7750,9992,10002,9992,9992
Cal-San Diego,3851,8062,13302,13456,14028,14199
Oregon,3819,6435,9763,9918,11571,11898
Wisconsin,3788,7568,10403,10410,10533,10555
Washington,3761,6802,12397,12394,10974,11517
UCLA,3683,7551,12696,13029,13749,13774
Texas,3252,8090,9790,9798,10136,10606
Nebraska,3450,6585,8075,8070,8901,9154
Iowa,3204,6544,8061,8079,8964,9267
Colorado,3223,7278,10529,10789,12086,12532
Iowa State,3204,6360,7726,7731,8636,8988
North Carolina,2768,5397,8340,8346,9005,8987
Kansas,2725,7725,10107,10448,10824,11148
Arizona,2348,5531,10391,10957,11877,12487
Florida,2256,3790,6263,6313,6381,6381
Georgia Tech,3308,6040,10650,11394,12418,12424
Texas A&M,3374,7844,8506,9179,10403,10968
