Group,Grp,Score
Silence,1,15
Silence,1,13
Silence,1,26
Silence,1,18
Silence,1,21
Silence,1,17
Silence,1,17
Silence,1,20
Silence,1,12
Silence,1,22
Silence,1,23
Silence,1,20
Silence,1,18
Silence,1,10
Silence,1,21
Silence,1,26
Silence,1,9
Silence,1,22
Silence,1,19
Silence,1,20
Silence,1,18
Silence,1,14
Silence,1,14
Silence,1,21
Silence,1,17
Silence,1,12
Silence,1,21
Silence,1,21
Silence,1,25
Silence,1,14
Silence,1,13
Silence,1,30
Silence,1,14
Silence,1,14
Silence,1,19
Silence,1,18
Silence,1,31
Silence,1,19
Silence,1,26
Silence,1,20
Silence,1,22
Silence,1,14
Silence,1,16
Silence,1,26
Silence,1,16
Silence,1,15
Silence,1,12
Silence,1,11
Silence,1,17
Silence,1,29
Silence,1,15
Silence,1,17
Silence,1,21
Silence,1,14
Silence,1,21
Silence,1,14
Silence,1,18
Silence,1,18
Silence,1,14
Silence,1,18
Silence,1,22
Silence,1,17
Silence,1,16
Silence,1,14
Silence,1,23
Silence,1,17
Silence,1,12
Silence,1,12
Silence,1,22
Silence,1,17
Silence,1,16
Silence,1,19
Silence,1,29
Silence,1,19
Silence,1,21
Silence,1,18
Silence,1,19
Silence,1,10
Silence,1,19
Silence,1,14
Silence,1,24
Silence,1,24
Silence,1,6
Silence,1,22
Silence,1,27
Silence,1,16
Silence,1,17
Silence,1,19
Silence,1,25
Silence,1,14
Silence,1,18
Silence,1,20
Silence,1,22
Silence,1,17
Silence,1,14
Silence,1,23
Silence,1,24
Silence,1,19
Silence,1,18
Silence,1,27
Silence,1,12
Silence,1,20
Silence,1,18
Silence,1,24
Silence,1,13
Silence,1,20
Silence,1,14
Silence,1,19
Silence,1,14
Silence,1,25
Silence,1,29
Silence,1,27
Silence,1,20
Silence,1,18
Silence,1,21
Silence,1,15
Silence,1,23
Silence,1,18
Silence,1,22
Silence,1,23
Silence,1,14
Silence,1,19
Silence,1,24
Silence,1,25
Silence,1,17
Silence,1,18
Silence,1,23
Silence,1,21
Silence,1,23
Silence,1,18
Silence,1,18
Silence,1,20
Silence,1,22
Silence,1,24
Silence,1,22
Silence,1,11
Silence,1,14
Silence,1,16
Silence,1,19
Silence,1,19
Silence,1,28
Silence,1,15
Silence,1,19
Silence,1,28
Silence,1,18
Silence,1,19
Silence,1,15
Silence,1,18
Silence,1,14
Silence,1,23
Silence,1,15
Silence,1,22
Without,2,18
Without,2,11
Without,2,10
Without,2,15
Without,2,22
Without,2,15
Without,2,18
Without,2,15
Without,2,22
Without,2,16
Without,2,16
Without,2,16
Without,2,17
Without,2,9
Without,2,21
Without,2,27
Without,2,24
Without,2,19
Without,2,27
Without,2,20
Without,2,12
Without,2,17
Without,2,23
Without,2,22
Without,2,15
Without,2,20
Without,2,18
Without,2,17
Without,2,15
Without,2,17
Without,2,21
Without,2,14
Without,2,19
Without,2,20
Without,2,15
Without,2,24
Without,2,14
Without,2,18
Without,2,23
Without,2,18
Without,2,17
Without,2,23
Without,2,17
Without,2,11
Without,2,23
Without,2,16
Without,2,18
Without,2,14
Without,2,12
Without,2,19
Without,2,21
Without,2,14
Without,2,23
Without,2,18
Without,2,16
Without,2,17
Without,2,20
Without,2,27
Without,2,15
Without,2,16
Without,2,22
Without,2,22
Without,2,12
Without,2,17
Without,2,18
Without,2,22
Without,2,27
Without,2,18
Without,2,18
Without,2,13
Without,2,21
Without,2,16
Without,2,9
Without,2,18
Without,2,15
Without,2,15
Without,2,26
Without,2,16
Without,2,19
Without,2,19
Without,2,21
Without,2,23
Without,2,14
Without,2,22
Without,2,22
Without,2,14
Without,2,15
Without,2,13
Without,2,22
Without,2,21
Without,2,24
Without,2,18
Without,2,20
Without,2,18
Without,2,26
Without,2,15
Without,2,19
Without,2,29
Without,2,13
Without,2,10
Without,2,13
Without,2,13
Without,2,19
Without,2,20
Without,2,9
Without,2,18
Without,2,17
Without,2,21
Without,2,23
Without,2,15
Without,2,20
Without,2,19
Without,2,17
Without,2,12
Without,2,12
Without,2,28
Without,2,16
Without,2,16
Without,2,10
Without,2,19
Without,2,18
Without,2,14
Without,2,17
Without,2,23
Without,2,15
Without,2,19
Without,2,15
Without,2,20
Without,2,20
Without,2,18
Without,2,17
Without,2,22
Without,2,13
Without,2,15
Without,2,12
Without,2,22
Without,2,13
Without,2,13
Without,2,21
Without,2,13
Without,2,17
Without,2,14
Without,2,19
Without,2,16
Without,2,17
Without,2,18
Without,2,17
Without,2,15
Without,2,15
With ,3,23
With ,3,18
With ,3,15
With ,3,19
With ,3,16
With ,3,14
With ,3,9
With ,3,22
With ,3,18
With ,3,13
With ,3,11
With ,3,17
With ,3,22
With ,3,17
With ,3,23
With ,3,15
With ,3,16
With ,3,18
With ,3,23
With ,3,23
With ,3,18
With ,3,21
With ,3,21
With ,3,23
With ,3,20
With ,3,21
With ,3,13
With ,3,17
With ,3,16
With ,3,14
With ,3,19
With ,3,16
With ,3,25
With ,3,19
With ,3,11
With ,3,20
With ,3,27
With ,3,23
With ,3,17
With ,3,16
With ,3,15
With ,3,22
With ,3,16
With ,3,13
With ,3,16
With ,3,21
With ,3,23
With ,3,14
With ,3,23
With ,3,16
With ,3,23
With ,3,15
With ,3,13
With ,3,18
With ,3,24
With ,3,24
With ,3,16
With ,3,20
With ,3,12
With ,3,20
With ,3,22
With ,3,15
With ,3,19
With ,3,20
With ,3,22
With ,3,9
With ,3,15
With ,3,15
With ,3,24
With ,3,24
With ,3,23
With ,3,19
With ,3,20
With ,3,19
With ,3,10
With ,3,19
With ,3,17
With ,3,21
With ,3,13
With ,3,21
With ,3,18
With ,3,21
With ,3,15
With ,3,15
With ,3,16
With ,3,16
With ,3,19
With ,3,22
With ,3,14
With ,3,8
With ,3,17
With ,3,28
With ,3,19
With ,3,21
With ,3,26
With ,3,8
With ,3,15
With ,3,19
With ,3,19
With ,3,11
With ,3,19
With ,3,10
With ,3,23
With ,3,16
With ,3,19
With ,3,15
With ,3,15
With ,3,14
With ,3,15
With ,3,18
With ,3,23
With ,3,19
With ,3,14
With ,3,18
With ,3,13
With ,3,17
With ,3,19
With ,3,22
With ,3,13
With ,3,18
With ,3,12
With ,3,13
With ,3,18
With ,3,18
With ,3,13
With ,3,18
With ,3,16
With ,3,25
With ,3,19
With ,3,22
With ,3,19
With ,3,16
With ,3,11
