Grp,Time,SqrtTime
1,7.22,2.6870058
1,10.98,3.3136083
1,6.05,2.4596748
1,13.23,3.6373067
1,3.43,1.8520259
1,14.12,3.7576588
1,7.75,2.7838822
1,2.37,1.5394804
1,12.15,3.4856850
1,2.93,1.7117243
1,10.92,3.3045423
1,7.23,2.6888659
1,3.38,1.8384776
1,4.35,2.0856654
1,11.27,3.3570821
1,5.53,2.3515952
1,9.30,3.0495901
1,0.72,0.8485281
1,4.23,2.0566964
1,9.42,3.0692019
1,0.98,0.9899495
2,2.20,1.4832397
2,10.85,3.2939338
2,8.57,2.9274562
2,7.57,2.7513633
2,12.87,3.5874782
2,5.98,2.4454039
2,7.68,2.7712813
2,3.38,1.8384776
2,8.12,2.8495614
2,3.68,1.9183326
2,7.22,2.6870058
2,1.08,1.0392305
2,2.17,1.4730920
2,7.65,2.7658633
2,15.28,3.9089641
2,4.48,2.1166010
2,7.70,2.7748874
2,6.77,2.6019224
2,18.95,4.3531598
2,1.25,1.1180340
2,12.78,3.5749126
3,4.77,2.1840330
3,12.57,3.5454196
3,3.35,1.8303005
3,10.30,3.2093613
3,3.45,1.8574176
3,2.95,1.7175564
3,9.95,3.1543621
3,17.35,4.1653331
3,11.42,3.3793490
3,12.62,3.5524639
3,9.73,3.1192948
3,1.77,1.3304135
3,2.92,1.7088007
3,2.78,1.6673332
3,11.18,3.3436507
3,2.28,1.5099669
3,4.38,2.0928450
3,8.42,2.9017236
3,1.98,1.4071247
3,1.13,1.0630146
3,3.10,1.7606817
4,8.18,2.8600699
4,11.22,3.3496268
4,4.38,2.0928450
4,3.77,1.9416488
4,17.77,4.2154478
4,23.52,4.8497423
4,0.23,0.4795832
4,7.95,2.8195744
4,3.03,1.7406895
4,5.08,2.2538855
4,8.07,2.8407745
4,4.35,2.0856654
4,4.02,2.0049938
4,13.23,3.6373067
4,1.32,1.1489125
4,8.48,2.9120440
4,1.40,1.1832160
4,8.33,2.8861739
4,8.60,2.9325757
4,12.25,3.5000000
4,10.10,3.1780497
5,3.77,1.9416488
5,10.10,3.1780497
5,2.35,1.5329710
5,0.45,0.6708204
5,0.13,0.3605551
5,1.40,1.1832160
5,1.15,1.0723805
5,6.00,2.4494897
5,2.80,1.6733201
5,0.88,0.9380832
5,13.35,3.6537652
5,3.27,1.8083141
5,0.57,0.7549834
5,0.42,0.6480741
5,5.75,2.3979158
5,4.08,2.0199010
5,2.32,1.5231546
5,1.07,1.0344080
5,4.02,2.0049938
5,1.77,1.3304135
5,2.05,1.4317821
