Coffeehouse,Age
1,47
1,39
1,38
1,48
1,30
1,38
1,39
1,47
1,53
1,43
1,36
1,22
1,42
1,32
1,51
1,56
1,32
1,44
1,39
1,42
1,41
1,47
1,36
1,27
1,44
1,53
1,31
1,34
1,34
1,31
1,51
1,41
1,38
1,34
1,32
1,34
1,29
1,34
1,37
2,54
2,32
2,64
2,80
2,51
2,54
2,55
2,34
2,48
2,60
2,63
2,38
2,75
2,37
2,36
2,45
2,43
2,68
2,45
2,36
2,31
2,57
2,52
2,48
2,42
2,33
2,25
2,46
2,26
2,44
2,52
2,37
2,54
2,49
2,29
2,35
2,48
2,47
3,28
3,26
3,25
3,48
3,36
3,27
3,33
3,25
3,47
3,29
3,27
3,49
3,53
3,27
3,64
3,52
3,33
3,37
3,28
3,29
3,37
3,41
3,59
3,46
3,61
3,34
3,48
3,41
3,39
3,57
3,42
3,45
3,44
3,50
3,34
3,57
3,53
3,29
3,41
3,37
3,39
3,44
4,24
4,34
4,22
4,39
4,39
4,22
4,17
4,19
4,27
4,19
4,21
4,27
4,15
4,35
4,43
4,34
4,26
4,26
4,19
4,23
4,29
4,33
4,14
4,22
4,29
4,21
4,38
4,28
4,27
4,25
4,25
4,17
4,30
4,25
4,24
4,28
4,25
4,33
5,44
5,22
5,40
5,32
5,42
5,55
5,29
5,42
5,26
5,40
5,24
5,26
5,25
5,23
5,34
5,27
5,42
5,38
5,28
5,28
5,30
5,46
5,25
5,40
5,30
5,33
5,15
5,26
5,27
5,39
5,38
5,15
5,36
5,31
5,32
5,40
5,34
5,36
5,60
5,34
5,56
5,28
5,47
