Group,Grp,Interval
52weeks,1,16
52weeks,1,22
52weeks,1,30
52weeks,1,37
52weeks,1,40
52weeks,1,43
52weeks,1,43
52weeks,1,45
52weeks,1,47
52weeks,1,51
52weeks,1,54
52weeks,1,56
52weeks,1,59
52weeks,1,61
52weeks,1,66
52weeks,1,74
52weeks,1,77
52weeks,1,78
52weeks,1,79
52weeks,1,84
52weeks,1,91
52weeks,1,92
52weeks,1,98
52weeks,1,119
52weeks,1,120
52weeks,1,143
52weeks,1,155
52weeks,1,190
52weeks,1,204
52weeks,1,248
12months,2,20
12months,2,25
12months,2,33
12months,2,38
12months,2,42
12months,2,49
12months,2,52
12months,2,60
12months,2,62
12months,2,58
12months,2,68
12months,2,69
12months,2,72
12months,2,74
12months,2,80
12months,2,86
12months,2,86
12months,2,89
12months,2,100
12months,2,111
12months,2,126
12months,2,135
12months,2,143
12months,2,148
12months,2,164
12months,2,178
12months,2,188
12months,2,221
12months,2,253
12months,2,308
1year,3,21
1year,3,32
1year,3,47
1year,3,59
1year,3,77
1year,3,78
1year,3,81
1year,3,86
1year,3,98
1year,3,100
1year,3,101
1year,3,109
1year,3,112
1year,3,127
1year,3,131
1year,3,134
1year,3,142
1year,3,143
1year,3,148
1year,3,158
1year,3,161
1year,3,162
1year,3,179
1year,3,188
1year,3,197
1year,3,212
1year,3,235
1year,3,256
1year,3,287
1year,3,328
