Diet,Water,Count,SqrtCnt
N,N,5,2.2360680
N,N,5,2.2360680
N,N,5,2.2360680
N,N,5,2.2360680
N,N,5,2.2360680
N,N,10,3.1622777
N,N,2,1.4142136
N,N,2,1.4142136
N,N,7,2.6457513
N,N,3,1.7320508
N,Y,6,2.4494897
N,Y,7,2.6457513
N,Y,7,2.6457513
N,Y,9,3.0000000
N,Y,8,2.8284271
N,Y,15,3.8729833
N,Y,11,3.3166248
N,Y,5,2.2360680
N,Y,10,3.1622777
N,Y,7,2.6457513
Y,N,1,1.0000000
Y,N,5,2.2360680
Y,N,7,2.6457513
Y,N,7,2.6457513
Y,N,5,2.2360680
Y,N,2,1.4142136
Y,N,7,2.6457513
Y,N,5,2.2360680
Y,N,6,2.4494897
Y,N,4,2.0000000
Y,Y,12,3.4641016
Y,Y,8,2.8284271
Y,Y,18,4.2426407
Y,Y,5,2.2360680
Y,Y,10,3.1622777
Y,Y,5,2.2360680
Y,Y,14,3.7416574
Y,Y,8,2.8284271
Y,Y,12,3.4641016
Y,Y,9,3.0000000
