Saturation,Purchase_Goal,Response
1,1,34.5
1,1,35.5
1,1,36.0
1,1,40.5
1,1,42.5
1,1,44.0
1,1,45.0
1,1,47.0
1,1,47.5
1,1,48.5
1,1,49.5
1,1,50.0
1,1,52.0
1,1,52.0
1,1,52.5
1,1,56.5
1,1,58.0
1,1,58.5
1,1,58.5
1,1,59.5
1,1,65.5
1,1,67.0
1,1,67.5
1,1,68.5
1,1,69.0
1,1,69.5
1,1,69.5
1,1,72.0
1,1,72.0
1,1,73.0
1,1,76.5
1,1,79.0
1,1,81.0
1,1,84.5
1,1,86.0
1,1,87.0
1,1,101.0
1,1,106.0
1,1,119.5
1,2,23.0
1,2,23.0
1,2,24.5
1,2,25.0
1,2,25.0
1,2,31.0
1,2,33.5
1,2,34.5
1,2,39.0
1,2,40.0
1,2,41.0
1,2,41.0
1,2,41.5
1,2,42.5
1,2,43.0
1,2,43.0
1,2,44.0
1,2,44.5
1,2,45.0
1,2,45.5
1,2,45.5
1,2,50.0
1,2,52.0
1,2,56.0
1,2,56.5
1,2,59.0
1,2,59.5
1,2,60.0
1,2,61.0
1,2,61.0
1,2,61.0
1,2,63.0
1,2,64.0
1,2,74.0
1,2,74.0
1,2,76.5
1,2,78.5
1,2,79.0
1,2,95.0
2,1,12.0
2,1,13.0
2,1,20.5
2,1,24.0
2,1,27.5
2,1,30.0
2,1,32.5
2,1,33.5
2,1,34.5
2,1,37.0
2,1,38.0
2,1,39.5
2,1,40.0
2,1,41.0
2,1,41.0
2,1,41.5
2,1,43.5
2,1,48.0
2,1,50.5
2,1,52.0
2,1,52.5
2,1,53.5
2,1,54.0
2,1,59.0
2,1,60.5
2,1,60.5
2,1,61.0
2,1,61.5
2,1,62.0
2,1,64.0
2,1,73.5
2,1,75.0
2,1,77.5
2,1,79.5
2,1,81.0
2,1,89.0
2,1,97.0
2,1,105.5
2,1,129.0
2,2,16.5
2,2,18.0
2,2,18.5
2,2,20.0
2,2,20.5
2,2,27.0
2,2,28.5
2,2,31.0
2,2,33.5
2,2,34.0
2,2,35.5
2,2,36.0
2,2,38.0
2,2,39.5
2,2,43.5
2,2,45.0
2,2,47.0
2,2,48.0
2,2,48.0
2,2,49.0
2,2,50.5
2,2,50.5
2,2,54.5
2,2,55.0
2,2,56.0
2,2,58.0
2,2,58.3
2,2,58.5
2,2,59.0
2,2,60.5
2,2,61.5
2,2,68.5
2,2,75.0
2,2,79.5
2,2,83.5
2,2,98.5
2,2,100.5
2,2,115.5
2,2,124.5
,,
,,
