Title,Budget,USRevenue,Opening,Theaters,Opinion,LOpening,Profit
Madagascar: Escape 2 Africa,150,180,63.1,4056,6.9,4.1447,1
Sex and the City,65,153,56.8,3285,5.4,4.0395,1
The Ruins,8,17,8.0,2812,6.0,2.0794,1
Stop-Loss,25,11,4.6,1291,6.5,1.5261,0
The Curious Case of Benjamin Button,150,128,26.9,2988,8.0,3.2921,0
Redbelt,7,2,1.1,1379,6.9,0.0953,0
The Secret Life of Bees,11,38,10.5,1591,7.0,2.3514,1
Kung Fu Panda,130,215,60.2,4114,7.7,4.0977,1
The Happening,60,65,30.5,2986,5.2,3.4177,1
Zach and Miri Make a Porno,24,32,10.1,2735,7.1,2.3125,1
The Strangers,10,53,21.0,2466,6.0,3.0445,1
Prom Night,20,44,20.8,2700,3.6,3.0350,1
The Dark Knight,185,533,158.4,4366,8.9,5.0651,1
Baby Mama,30,60,17.4,2543,6.1,2.8565,1
Wanted,75,134,50.9,3175,6.8,3.9299,1
Changeling,55,36,10.0,1850,8.0,2.3026,0
Yes Man,70,98,18.3,3434,7.0,2.9069,1
The Express,40,10,4.6,2808,7.1,1.5261,0
W.,25,26,10.5,2030,6.6,2.3514,1
The Mummy: Tomb of the Dragon Emporer,145,102,40.5,3760,5.1,3.7013,0
Eagle Eye,80,101,29.2,3510,6.6,3.3742,1
Burn After Reading,37,60,19.1,2651,7.2,2.9497,1
Saw V,11,57,30.1,3060,5.8,3.4045,1
Miracle and St Anna,45,8,3.5,1185,5.9,1.2528,0
The Day the Earth Stood Still,80,79,30.5,3560,5.5,3.4177,0
Be Kind Rewind,20,11,4.1,808,6.6,1.4110,0
Jumper,85,80,32.1,3428,5.9,3.4689,0
Hancock,150,228,62.6,3965,6.5,4.1368,1
Speed Racer,120,44,18.6,3606,6.3,2.9232,0
The Eye,12,31,12.4,2436,5.3,2.5177,1
Death Race,45,36,12.6,2532,6.6,2.5337,0
College,7,5,2.6,2123,4.3,0.9555,0
Blindness,25,3,2.0,1690,6.7,0.6931,0
Iron Man,140,318,102.1,4105,8.0,4.6260,1
Lakeview Terrace,22,39,15.0,2464,6.3,2.7081,1
Inception,160,293,62.8,3792,8.8,4.1398,1
Easy A,8,58,17.7,2856,7.2,2.8753,1
The Last Airbender,150,132,16.4,3169,4.4,2.7942,0
Scott Pilgrim vs. the World,60,32,10.6,2818,7.5,2.3618,0
Step Up 3D,30,42,15.8,2435,6.6,2.7606,1
Prince of Persia: The Sands of Time,200,91,37.8,3646,6.6,3.6326,0
2012,200,166,65.2,3404,5.8,4.1781,0
Star Trek,140,258,75.2,3849,8.0,4.3202,1
Despicable Me,69,252,56.4,3476,7.7,4.0325,1
Wall Street: Money Never Sleeps,70,53,19.0,3565,6.3,2.9450,0
Invictus,60,38,8.6,2125,7.4,2.1529,0
The Twilight Saga: New Moon,50,297,142.8,4024,4.6,4.9617,1
Tooth Fairy,48,60,14.0,3344,5.0,2.6398,1
Charlie St. Cloud,44,31,12.4,2718,6.4,2.5161,0
Bruno,42,60,30.6,2756,6.0,3.4217,1
Tangled,260,201,48.8,3603,7.9,3.8871,0
Cats and Dogs: The Revenge of Kitty G,85,44,12.3,3705,4.7,2.5080,0
He's Just Not That Into You,40,94,27.8,3175,6.4,3.3250,1
The Karate Kid,40,177,55.7,3663,6.2,4.0194,1
The Ugly Truth,38,89,27.6,2882,6.7,3.3182,1
Underworld:Rise of the Lycans,35,46,20.8,2942,6.6,3.0364,1
The Hangover,35,277,45.0,3269,7.8,3.8062,1
Paul Blart: Mall Cop,26,146,31.8,3144,5.2,3.4604,1
My Soul to Take,25,15,6.8,2572,4.7,1.9228,0
Up in the Air,25,84,26.3,1895,7.5,3.2696,1
Men Who Stare at Goats,25,32,12.7,2443,6.3,2.5424,1
Dear John,25,80,30.5,2969,6.3,3.4167,1
Jackass 3D,20,117,50.4,3081,7.1,3.9190,1
17 Again,20,64,23.7,3255,6.4,3.1663,1
Vampires Suck,20,37,18.6,3233,3.5,2.9215,1
Saw 3D: The Final Chapter,20,46,24.2,2808,5.6,3.1876,1
Fame,18,23,10.0,3096,4.9,2.3036,1
The Expendables,80,103,34.8,3270,6.5,3.5505,1
Inglourious Bastards,75,121,38.1,3165,8.3,3.6389,1
Watchmen,130,108,55.2,3611,7.6,4.0111,0
X-Men Origins: Wolverine,150,180,85.1,4099,6.7,4.4434,1
Jennifer's Body,16,16,6.9,2702,5.1,1.9272,1
Zombieland,24,76,24.7,3036,7.7,3.2080,1
(500) Days of Summer,8,32,12.4,1195,7.8,2.5145,1
Friday the 13th,19,65,43.6,3105,5.6,3.7748,1
How To Train Your Dragon,165,217,43.7,4055,8.2,3.7780,1
Hot Tub Time Machine,36,50,14.0,2754,6.5,2.6405,1
Red,58,90,21.8,3255,7.1,3.0801,1
