Song,Min,Sec,Length,LogLength
1,4,0,240,5.480639
2,5,16,316,5.755742
3,4,19,259,5.556828
4,0,46,46,3.828641
5,14,31,871,6.769642
6,6,51,411,6.018593
7,22,46,1366,7.219642
8,3,53,233,5.451038
9,8,40,520,6.253829
10,3,59,239,5.476464
11,4,19,259,5.556828
12,8,55,535,6.282267
13,3,33,213,5.361292
14,8,12,492,6.198479
15,5,15,315,5.752573
16,11,36,696,6.545350
17,3,1,181,5.198497
18,5,57,357,5.877736
19,2,10,130,4.867534
20,6,13,373,5.921578
21,4,5,245,5.501258
22,5,5,305,5.720312
23,3,8,188,5.236442
24,6,38,398,5.986452
25,2,20,140,4.941642
26,4,12,252,5.529429
27,5,31,331,5.802118
28,0,47,47,3.850148
29,5,9,309,5.733341
30,4,5,245,5.501258
31,1,9,69,4.234107
32,4,53,293,5.680173
33,2,40,160,5.075174
34,4,5,245,5.501258
35,3,4,184,5.214936
36,5,26,326,5.786897
37,10,12,612,6.416732
38,7,54,474,6.161207
39,2,51,171,5.141664
40,8,18,498,6.210600
41,8,4,484,6.182085
42,4,31,271,5.602119
43,3,27,207,5.332719
44,2,49,169,5.129899
45,2,51,171,5.141664
46,3,0,180,5.192957
47,4,29,269,5.594711
48,4,57,297,5.693732
49,4,26,266,5.583496
50,30,47,1847,7.521318
