Country,TimeToStart
Afghanistan,7.0
Albania,5.0
Algeria,20.0
Angola,36.0
Antigua and Barbuda,22.0
Argentina,24.0
Armenia,4.5
Australia,2.5
Austria,21.0
Azerbaijan,4.5
"Bahamas, The",21.5
Bahrain,9.0
Bangladesh,19.5
Barbados,15.0
Belarus,5.0
Belgium,4.0
Belize,43.0
Benin,8.0
Bhutan,12.0
Bolivia,45.0
Bosnia and Herzegovina,65.0
Botswana,48.0
Brazil,79.5
Brunei Darussalam,12.0
Bulgaria,23.0
Burkina Faso,13.0
Burundi,4.0
Cabo Verde,11.0
Cambodia,99.0
Cameroon,16.0
Canada,1.5
Central African Republic,22.0
Chad,60.0
Chile,5.5
China,22.9
Colombia,11.0
Comoros,16.0
"Congo, Dem. Rep.",7.0
"Congo, Rep.",49.0
Costa Rica,22.5
Côte d'Ivoire,7.0
Croatia,7.0
Cyprus,6.0
Czech Republic,9.0
Denmark,3.5
Djibouti,14.0
Dominica,12.0
Dominican Republic,16.5
Ecuador,48.5
"Egypt, Arab Rep.",14.0
El Salvador,16.5
Equatorial Guinea,33.0
Eritrea,84.0
Estonia,3.5
Ethiopia,33.0
Fiji,40.0
Finland,14.0
France,3.5
Gabon,33.0
"Gambia, The",25.0
Georgia,2.0
Germany,10.5
Ghana,14.0
Greece,12.5
Grenada,15.0
Guatemala,26.5
Guinea,8.0
Guinea-Bissau,8.0
Guyana,18.0
Haiti,97.0
Honduras,13.0
Hungary,7.0
Iceland,11.5
India,29.8
Indonesia,23.1
"Iran, Islamic Rep.",14.5
Iraq,26.0
Ireland,5.0
Israel,12.0
Italy,6.5
Jamaica,3.0
Japan,12.2
Jordan,12.0
Kazakhstan,9.0
Kenya,25.0
Kiribati,31.0
"Korea, Rep.",4.0
Kosovo,5.5
Kuwait,38.0
Kyrgyz Republic,10.0
Lao PDR,67.0
Latvia,5.5
Lebanon,15.0
Lesotho,29.0
Liberia,6.0
Libya,35.0
Lithuania,5.5
Luxembourg,16.5
"Macedonia, FYR",7.0
Madagascar,8.0
Malawi,37.0
Malaysia,18.0
Maldives,12.0
Mali,8.5
Malta,16.0
Marshall Islands,17.0
Mauritania,6.0
Mauritius,5.0
Mexico,8.4
Moldova,5.0
Mongolia,10.0
Montenegro,10.0
Morocco,9.0
Mozambique,19.0
Myanmar,14.0
Namibia,66.0
Nepal,16.5
Netherlands,3.5
New Zealand,0.5
Nicaragua,14.0
Niger,7.0
Nigeria,18.9
Norway,4.0
Oman,6.0
Pakistan,17.5
Palau,28.0
Panama,6.0
Papua New Guinea,41.0
Paraguay,35.0
Peru,26.5
Philippines,28.0
Poland,37.0
Portugal,5.0
Qatar,8.5
Romania,12.0
Russian Federation,10.1
Rwanda,4.0
Samoa,9.0
San Marino,12.5
São Tomé and Príncipe,7.0
Saudi Arabia,17.0
Senegal,6.0
Serbia,5.5
Seychelles,32.0
Sierra Leone,11.0
Singapore,2.5
Slovak Republic,12.5
Slovenia,7.0
Solomon Islands,9.0
Somalia,70.0
South Africa,45.0
South Sudan,13.0
Spain,13.0
Sri Lanka,9.0
St. Kitts and Nevis,18.5
St. Lucia,11.0
St. Vincent and the Grenadines,10.0
Sudan,36.0
Suriname,84.0
Swaziland,30.0
Sweden,7.0
Switzerland,10.0
Syrian Arab Republic,15.0
"Taiwan, China",10.0
Tajikistan,11.0
Tanzania,28.0
Thailand,4.5
Timor-Leste,9.0
Togo,6.0
Tonga,16.0
Trinidad and Tobago,10.5
Tunisia,11.0
Turkey,6.5
Uganda,24.0
Ukraine,6.5
United Arab Emirates,8.0
United Kingdom,4.5
United States,5.6
Uruguay,6.5
Uzbekistan,5.0
Vanuatu,18.0
Venezuela,230.0
Vietnam,22.0
West Bank and Gaza,43.0
"Yemen, Rep.",40.0
Zambia,8.5
Zimbabwe,61.0
