State,Undergrads,Pop(1000s),UGradPerThou
Alabama,259562,4863.3,53
Alaska,24607,741.894,33
Arizona,493410,6931.071,71
Arkansas,143055,2988.248,48
California,2415337,39250.017,62
Colorado,299805,5540.545,54
Connecticut,160568,3576.452,45
Delaware,49068,952.065,52
Florida,944323,20612.439,46
Georgia,459860,10310.371,45
Hawaii,56968,1428.557,40
Idaho,123597,1683.14,73
Illinois,604973,12801.539,47
Indiana,339666,6633.053,51
Iowa,224341,3134.693,72
Kansas,186190,2907.289,64
Kentucky,215826,4436.974,49
Louisiana,210828,4681.666,45
Maine,61919,1331.479,47
Maryland,291356,6016.447,48
Massachusetts,362741,6811.779,53
Michigan,476450,9928.3,48
Minnesota,297523,5519.952,54
Mississippi,151403,2988.726,51
Missouri,308402,6093,51
Montana,45207,1042.52,43
Nebraska,110118,1907.116,58
Nevada,105916,2940.058,36
New Hampshire,119473,1334.795,90
New Jersey,355613,8944.469,40
New Mexico,115954,2081.015,56
New York,1017768,19745.289,52
North Carolina,489833,10146.788,48
North Dakota,46064,757.952,61
Ohio,560843,11614.373,48
Oklahoma,177139,3923.561,45
Oregon,198198,4093.465,48
Pennsylvania,573544,12784.227,45
Rhode Island,71401,1056.426,68
South Carolina,219949,4961.119,44
South Dakota,46809,865.454,54
Tennessee,275340,6651.194,41
Texas,1437386,27862.596,52
Utah,287468,3051.217,94
Vermont,37233,624.594,60
Virginia,457708,8411.808,54
Washington,331253,7288,45
West Virginia,120976,1831.102,66
Wisconsin,301126,5778.708,52
Wyoming,30409,585.501,52
