Day,High,Low
1,1.9,-18.0
2,-5.1,-17.0
3,12.9,-14.1
4,17.1,-7.1
5,3.9,-14.1
6,3.9,-20.0
7,16.0,-16.1
8,34.0,16.0
9,34.0,27.0
10,37.9,27.0
11,57.0,37.9
12,59.0,21.0
13,27.0,9.0
14,16.0,-0.9
15,19.9,-0.9
16,23.0,-2.9
17,8.1,-2.0
18,16.0,-2.0
19,30.0,14.0
20,37.0,21.9
21,42.1,30.0
22,52.0,39.0
23,54.0,33.1
24,36.0,27.0
25,28.9,21.9
26,46.9,23.0
27,54.0,36.0
28,50.0,28.0
29,50.0,27.0
30,30.0,12.9
31,32.0,14.0
32,45.0,32.0
33,33.1,5.0
34,23.0,5.0
35,37.9,23.0
36,35.1,-2.9
37,17.1,-5.1
38,18.0,-6.0
39,19.9,1.9
40,34.0,9.0
41,44.1,23.0
42,25.0,21.9
43,25.0,8.1
44,30.0,8.1
45,42.1,18.0
46,53.1,34.0
47,60.1,33.1
48,36.0,19.9
49,34.0,19.9
50,48.0,25.0
51,64.9,48.0
52,68.0,33.1
53,36.0,32.0
54,45.0,35.1
55,48.0,36.0
56,55.9,34.0
57,45.0,30.0
58,54.0,32.0
59,61.0,39.9
60,63.0,46.0
61,51.1,30.0
62,45.0,27.0
63,45.0,27.0
64,48.0,27.0
65,44.1,30.0
66,45.0,28.0
67,34.0,23.0
68,30.0,19.9
69,39.9,21.9
70,46.0,23.0
71,42.1,21.9
72,42.1,25.0
73,39.0,17.1
74,45.0,19.9
75,53.1,21.0
76,43.0,21.9
77,37.0,21.0
78,55.0,21.9
79,54.0,26.1
80,42.1,26.1
81,46.9,19.0
82,48.0,19.9
83,48.0,24.1
84,37.9,24.1
85,48.0,23.0
86,53.1,28.0
87,54.0,39.9
88,50.0,41.0
89,46.9,33.1
90,48.9,33.1
91,53.1,28.9
92,39.0,14.0
93,45.0,14.0
94,64.9,30.0
95,35.1,25.0
96,45.0,26.1
97,42.1,21.0
98,37.9,19.9
99,43.0,19.9
100,39.9,30.0
101,44.1,30.9
102,64.0,35.1
103,77.0,55.9
104,71.1,59.0
105,68.0,39.0
106,46.9,28.9
107,33.1,27.0
108,42.1,28.9
109,46.9,30.9
110,55.0,25.0
111,60.1,30.0
112,59.0,39.0
113,66.9,44.1
114,64.9,46.9
115,61.0,43.0
116,63.0,28.9
117,64.9,34.0
118,66.0,35.1
119,54.0,25.0
120,62.1,32.0
121,75.0,45.0
122,82.9,55.9
123,86.0,64.9
124,75.0,63.0
125,72.0,51.1
