Country,TimeToStart,TTS2008
Afghanistan,7.0,9.0
Albania,5.0,37.0
Algeria,20.0,24.0
Angola,36.0,83.0
Antigua and Barbuda,22.0,22.0
Argentina,24.0,29.0
Armenia,4.5,17.0
Australia,2.5,3.0
Austria,21.0,25.0
Azerbaijan,4.5,36.0
"Bahamas, The",21.5,30.5
Bahrain,9.0,9.0
Bangladesh,19.5,
Barbados,15.0,
Belarus,5.0,49.0
Belgium,4.0,4.0
Belize,43.0,43.0
Benin,8.0,34.0
Bhutan,12.0,48.0
Bolivia,45.0,49.0
Bosnia and Herzegovina,65.0,93.0
Botswana,48.0,105.0
Brazil,79.5,
Brunei Darussalam,12.0,121.0
Bulgaria,23.0,39.0
Burkina Faso,13.0,18.0
Burundi,4.0,13.0
Cabo Verde,11.0,52.0
Cambodia,99.0,86.0
Cameroon,16.0,38.0
Canada,1.5,3.5
Central African Republic,22.0,22.0
Chad,60.0,62.0
Chile,5.5,40.0
China,22.9,
Colombia,11.0,41.0
Comoros,16.0,30.0
"Congo, Dem. Rep.",7.0,132.0
"Congo, Rep.",49.0,38.0
Costa Rica,22.5,90.0
Côte d'Ivoire,7.0,42.0
Croatia,7.0,22.5
Cyprus,6.0,
Czech Republic,9.0,17.0
Denmark,3.5,6.5
Djibouti,14.0,44.0
Dominica,12.0,14.0
Dominican Republic,16.5,25.0
Ecuador,48.5,65.0
"Egypt, Arab Rep.",14.0,13.0
El Salvador,16.5,19.5
Equatorial Guinea,33.0,155.0
Eritrea,84.0,83.0
Estonia,3.5,6.5
Ethiopia,33.0,19.0
Fiji,40.0,44.0
Finland,14.0,14.0
France,3.5,7.0
Gabon,33.0,54.0
"Gambia, The",25.0,32.0
Georgia,2.0,11.0
Germany,10.5,18.0
Ghana,14.0,13.0
Greece,12.5,38.0
Grenada,15.0,19.0
Guatemala,26.5,36.0
Guinea,8.0,40.0
Guinea-Bissau,8.0,259.0
Guyana,18.0,37.0
Haiti,97.0,202.0
Honduras,13.0,20.0
Hungary,7.0,17.0
Iceland,11.5,5.0
India,29.8,
Indonesia,23.1,
"Iran, Islamic Rep.",14.5,30.0
Iraq,26.0,30.0
Ireland,5.0,13.0
Israel,12.0,19.0
Italy,6.5,13.0
Jamaica,3.0,8.0
Japan,12.2,
Jordan,12.0,13.0
Kazakhstan,9.0,27.0
Kenya,25.0,45.0
Kiribati,31.0,31.0
"Korea, Rep.",4.0,17.0
Kosovo,5.5,
Kuwait,38.0,35.0
Kyrgyz Republic,10.0,21.0
Lao PDR,67.0,85.0
Latvia,5.5,16.0
Lebanon,15.0,53.0
Lesotho,29.0,73.0
Liberia,6.0,69.0
Libya,35.0,
Lithuania,5.5,26.0
Luxembourg,16.5,24.0
"Macedonia, FYR",7.0,21.0
Madagascar,8.0,12.0
Malawi,37.0,37.0
Malaysia,18.0,31.0
Maldives,12.0,9.0
Mali,8.5,25.0
Malta,16.0,
Marshall Islands,17.0,17.0
Mauritania,6.0,50.0
Mauritius,5.0,7.0
Mexico,8.4,
Moldova,5.0,23.0
Mongolia,10.0,17.0
Montenegro,10.0,24.0
Morocco,9.0,12.0
Mozambique,19.0,31.0
Myanmar,14.0,
Namibia,66.0,99.0
Nepal,16.5,31.0
Netherlands,3.5,8.0
New Zealand,0.5,12.0
Nicaragua,14.0,39.0
Niger,7.0,23.0
Nigeria,18.9,
Norway,4.0,8.0
Oman,6.0,39.0
Pakistan,17.5,
Palau,28.0,28.0
Panama,6.0,18.0
Papua New Guinea,41.0,52.0
Paraguay,35.0,34.0
Peru,26.5,74.5
Philippines,28.0,47.0
Poland,37.0,45.0
Portugal,5.0,6.5
Qatar,8.5,7.0
Romania,12.0,8.0
Russian Federation,10.1,
Rwanda,4.0,16.0
Samoa,9.0,35.0
San Marino,12.5,
Sao Tome and Príncipe,7.0,145.0
Saudi Arabia,17.0,26.5
Senegal,6.0,58.0
Serbia,5.5,23.0
Seychelles,32.0,33.0
Sierra Leone,11.0,26.0
Singapore,2.5,5.0
Slovak Republic,12.5,27.0
Slovenia,7.0,61.5
Solomon Islands,9.0,55.0
Somalia,70.0,
South Africa,45.0,53.0
South Sudan,13.0,
Spain,13.0,60.0
Sri Lanka,9.0,42.0
St. Kitts and Nevis,18.5,19.0
St. Lucia,11.0,20.0
St. Vincent and the Grenadines,10.0,12.0
Sudan,36.0,38.0
Suriname,84.0,689.0
Swaziland,30.0,60.0
Sweden,7.0,16.0
Switzerland,10.0,18.0
Syrian Arab Republic,15.0,43.0
"Taiwan, China",10.0,47.0
Tajikistan,11.0,66.0
Tanzania,28.0,32.0
Thailand,4.5,35.0
Timor-Leste,9.0,158.0
Togo,6.0,60.0
Tonga,16.0,32.0
Trinidad and Tobago,10.5,41.0
Tunisia,11.0,11.0
Turkey,6.5,7.0
Uganda,24.0,30.0
Ukraine,6.5,28.0
United Arab Emirates,8.0,18.0
United Kingdom,4.5,10.5
United States,5.6,
Uruguay,6.5,43.0
Uzbekistan,5.0,14.0
Vanuatu,18.0,47.0
Vietnam,22.0,37.0
West Bank and Gaza,43.0,73.0
"Yemen, Rep.",40.0,63.0
Zambia,8.5,34.0
Zimbabwe,61.0,94.0
