YEAR,MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL_TYPE,FuelConsCity,FuelConsHwy,FuelConsComb,MPG,CO2,MPGCity,MPGHwy
2018,AUDI,A3,SUBCOMPACT,2.0,4,AM7,X,9.1,6.8,8.0,35,188,31,41
2018,AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,AM6,X,9.7,7.5,8.7,32,205,29,38
2018,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AM6,X,10.8,8.0,9.5,30,223,26,35
2018,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,X,10.1,7.8,9.1,31,209,28,36
2018,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,X,10.1,7.8,9.1,31,209,28,36
2018,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,AS9,X,12.9,9.0,11.2,25,263,22,31
2018,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,AS9,X,13.8,9.4,11.8,24,277,20,30
2018,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,194,30,39
2018,BUICK,ENCORE (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,8.6,7.1,7.9,36,185,33,40
2018,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,9.9,7.8,8.9,32,210,28,36
2018,BUICK,ENCORE AWD (SIDI with Stop/Start),SUV - SMALL,1.4,4,AS6,X,9.0,7.6,8.3,34,196,31,37
2018,BUICK,ENVISION AWD,SUV - SMALL,2.5,4,A6,X,11.1,8.6,10.0,28,234,25,33
2018,BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.3,7.9,9.7,29,228,25,36
2018,BUICK,LACROSSE eASSIST,MID-SIZE,2.5,4,A6,X,9.3,6.7,8.1,35,190,30,42
2018,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS9,X,11.8,8.0,10.1,28,237,24,35
2018,BUICK,REGAL AWD,FULL-SIZE,3.6,6,AS9,X,12.4,8.7,10.7,26,250,23,32
2018,CADILLAC,ATS,COMPACT,3.6,6,AS8,X,11.6,8.0,10.0,28,234,24,35
2018,CADILLAC,ATS AWD,COMPACT,3.6,6,AS8,X,12.1,8.6,10.5,27,247,23,33
2018,CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS8,X,13.0,8.9,11.1,25,261,22,32
2018,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,8.0,10.0,28,234,24,35
2018,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,12.1,8.6,10.5,27,247,23,33
2018,CADILLAC,XT5,SUV - SMALL,3.6,6,AS8,X,12.1,8.9,10.6,27,250,23,32
2018,CADILLAC,XT5 AWD,SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,263,22,30
2018,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.2,8.5,11.1,25,260,21,33
2018,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,9.0,11.6,24,272,21,31
2018,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246,23,34
2018,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,14.4,8.4,11.7,24,274,20,34
2018,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.8,8.8,9.3,30,218,29,32
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,253,23,31
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,251,24,31
2018,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274,21,29
2018,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.6,9.8,11.3,25,266,22,29
2018,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,14.1,10.0,12.2,23,288,20,28
2018,CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,15.0,13.0,14.1,20,331,19,22
2018,CHEVROLET,CRUZE,COMPACT,1.4,4,AS6,X,8.0,5.9,7.1,40,166,35,48
2018,CHEVROLET,CRUZE,COMPACT,1.4,4,M6,X,8.6,5.8,7.4,38,172,33,49
2018,CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4,AS6,X,8.1,6.0,7.2,39,169,35,47
2018,CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4,AS6,X,8.1,6.2,7.3,39,172,35,45
2018,CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4,M6,X,8.6,6.2,7.5,38,175,33,45
2018,CHEVROLET,CRUZE PREMIER HATCHBACK,MID-SIZE,1.4,4,AS6,X,8.4,6.4,7.5,38,176,34,44
2018,CHEVROLET,EQUINOX,SUV - SMALL,1.5,4,A6,X,9.2,7.3,8.3,34,195,31,39
2018,CHEVROLET,EQUINOX AWD,SUV - SMALL,1.5,4,A6,X,9.8,7.9,8.9,32,209,29,36
2018,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.9,7.9,9.5,30,224,26,36
2018,CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,X,12.7,8.5,10.8,26,254,22,33
2018,CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,181,32,43
2018,CHEVROLET,MALIBU HYBRID,MID-SIZE,1.8,4,AV,X,4.8,5.5,5.1,55,121,59,51
2018,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,10.0,11.8,24,278,21,28
2018,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,298,19,27
2018,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,298,19,27
2018,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.9,10.9,13.1,22,307,19,26
2018,CHEVROLET,SILVERADO eASSIST,PICKUP TRUCK - STANDARD,5.3,8,A8,X,13.4,10.0,11.8,24,278,21,28
2018,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.1,10.6,12.5,23,294,20,27
2018,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307,19,26
