Show Date,Venue,PauseLength
8/9/1987,"Nectar's, Burlington, VT",0
8/10/1987,"Nectar's, Burlington, VT",0
8/21/1987,"Ian McLean's Farm, Hebron, NY",0
8/29/1987,"The Ranch, South Burlington, VT",0
9/2/1987,"Hunt's, Burlington, VT",0
9/21/1987,"Nectar's, Burlington, VT",0
10/14/1987,"Hunt's, Burlington, VT",0
10/31/1987,"Sculpture Room, Goddard College, Plainfield, VT",0
11/18/1987,"Hunt's, Burlington, VT",0
11/19/1987,"Hunt's, Burlington, VT",0
1/27/1988,"Gallagher's, Waitsfield, VT",0
2/8/1988,"Nectar's, Burlington, VT",0
2/20/1988,"St. Lawrence University, Canton, NY",0
3/21/1988,"Nectar's, Burlington, VT",0
8/13/1988,"The Front, Burlington, VT",0
9/24/1988,"Humphries House (The Zoo), Amherst College, Amherst, MA",0
10/29/1988,"Sculpture Room, Goddard College, Plainfield, VT",0
11/5/1988,"Hamilton College, Clinton, NY",0
12/2/1988,"Molly's Cafe, Boston, MA",0
12/17/1988,"Old Stone Church, Newmarket, NH",0
1/26/1989,"The Paradise, Boston, MA",0
2/6/1989,"The Front, Burlington, VT",0
2/17/1989,"Old Stone Church, Newmarket, NH",0
2/18/1989,"Old Stone Church, Newmarket, NH",0
3/3/1989,"Living and Learning Center, University of Vermont, Burlington, VT",0
3/13/1989,"Nectar's, Burlington, VT",0
3/24/1989,"The Paradise, Boston, MA",0
3/30/1989,"The Front, Burlington, VT",0
4/15/1989,"Billings Lounge, University of Vermont, Burlington, VT",0
4/20/1989,"Humphries House (The Zoo), Amherst College, Amherst, MA",0
4/27/1989,"Memorial Union Building, University of New Hampshire, Durham, NH",3
4/30/1989,"Night Stage, Cambridge, MA",2
5/6/1989,"Collis Center, Dartmouth College, Hanover, NH",2
5/9/1989,"The Front, Burlington, VT",4
5/20/1989,"Northfield/Mt. Hermon School Gymnasium, Northfield, MA",0
5/21/1989,"320 Spear Street, Burlington, VT",2
5/28/1989,"Ian McLean's Party, Connie Condon's Farm, Hebron, NY",2
6/29/1989,"The Front, Burlington, VT",7
8/19/1989,"Collis Center, Dartmouth College, Hanover, NH",3
8/26/1989,"Townshend Family Park, Townshend, VT",1
