State,StateSpend,LocalSpend,Spending,GrossStateProd,StateGrowth,Population,LSpending,LPopulation,Predicted,Residual
Alabama,7.3,7.7,15.0,219.9,2.7,4.9,2.70805020110221,1.58923520511658,15.23,-0.23
Alaska,1.8,1.9,3.7,51.1,0.7,0.7,1.30833281965018,-0.35667494393873,3.36,0.34
Arizona,6.3,9.9,16.3,329.8,3.0,7.1,2.79116510781272,1.96009478404727,21.45,-5.15
Arkansas,3.6,5.2,8.8,128.7,2.5,3.0,2.17475172148416,1.09861228866811,9.86,-1.06
California,35.5,68.1,103.7,2847.6,3.3,39.8,4.64150211523548,3.68386691229039,113.88,-10.18
Colorado,7.8,9.7,17.6,350.3,3.0,5.7,2.86789890204411,1.74046617484050,17.49,0.11
Connecticut,5.0,7.1,12.2,283.6,2.6,3.6,2.50143595173921,1.28093384546206,11.56,0.64
Delaware,1.7,1.9,3.7,75.4,2.3,1.0,1.30833281965018,0.00000000000000,4.21,-0.51
Florida,12.9,32.0,44.9,1018.0,3.3,21.3,3.80443779474821,3.05870707271538,61.59,-16.69
Georgia,8.8,18.8,27.6,576.4,3.3,10.5,3.31781577272310,2.35137525716348,31.06,-3.46
Hawaii,3.7,0.0,3.7,91.5,3.0,1.4,1.30833281965018,0.33647223662121,5.34,-1.64
Idaho,1.5,2.2,3.7,72.4,2.9,1.8,1.30833281965018,0.58778666490212,6.47,-2.77
Illinois,9.0,30.5,39.5,850.4,2.6,12.8,3.67630067190708,2.54944517092557,37.56,1.94
Indiana,9.1,10.4,19.5,367.5,2.8,6.7,2.97041446556970,1.90210752639692,20.32,-0.82
Iowa,4.3,7.8,12.1,190.6,2.6,3.2,2.49320545260270,1.16315080980568,10.43,1.67
Kansas,3.5,6.9,10.3,162.3,2.3,2.9,2.33214389523559,1.06471073699243,9.58,0.72
Kentucky,7.1,6.9,14.0,212.0,2.7,4.5,2.63905732961526,1.50407739677627,14.10,-0.10
Louisiana,6.1,6.2,12.3,244.2,2.1,4.7,2.50959926237837,1.54756250871601,14.66,-2.36
Maine,1.2,2.9,4.1,64.2,2.7,1.3,1.41098697371026,0.26236426446749,5.05,-0.95
Maryland,7.0,20.1,27.1,409.3,2.7,6.1,3.29953372788566,1.80828877117927,18.62,8.48
Massachusetts,7.8,15.4,23.2,553.6,3.0,6.9,3.14415227867226,1.93152141160321,20.88,2.32
Michigan,13.8,15.2,29.0,528.4,2.9,10.0,3.36729582998647,2.30258509299405,29.65,-0.65
Minnesota,7.1,11.8,19.0,360.1,2.7,5.6,2.94443897916644,1.72276659774110,17.21,1.79
Mississippi,3.6,5.7,9.3,114.8,2.5,3.0,2.23001440015921,1.09861228866811,9.86,-0.56
Missouri,4.9,11.3,16.2,324.1,2.7,6.1,2.78501124223834,1.80828877117927,18.62,-2.42
Montana,1.2,1.9,3.1,48.4,2.3,1.1,1.13140211149110,0.09531017980432,4.49,-1.39
Nebraska,2.7,4.9,7.6,122.9,2.7,1.9,2.02814824729229,0.64185388617240,6.75,0.85
Nevada,2.1,4.2,6.3,161.5,3.1,3.1,1.84054963339749,1.13140211149110,10.14,-3.84
New Hampshire,1.5,3.0,4.4,85.5,3.4,1.4,1.48160454092422,0.33647223662121,5.34,-0.94
New Jersey,12.5,28.6,41.2,626.9,2.7,9.0,3.71843825635548,2.19722457733622,26.82,14.38
New Mexico,3.1,4.3,7.3,98.0,2.1,2.1,1.98787434815435,0.74193734472938,7.32,-0.02
New York,16.1,54.2,70.3,1604.7,2.5,19.9,4.25277179881662,2.99071973173045,57.63,12.67
North Carolina,11.5,15.4,26.9,562.2,2.8,10.4,3.29212628660779,2.34180580614733,30.78,-3.88
North Dakota,1.5,1.7,3.3,51.7,0.2,0.8,1.19392246847243,-0.22314355131421,3.64,-0.34
Ohio,11.6,24.0,35.6,675.4,2.9,11.7,3.57234563785798,2.45958884180371,34.45,1.15
Oklahoma,5.7,6.0,11.7,187.7,1.5,3.9,2.45958884180371,1.36097655313560,12.40,-0.70
Oregon,5.2,8.3,13.5,248.9,3.5,4.2,2.60268968544438,1.43508452528932,13.25,0.25
Pennsylvania,14.2,29.3,43.5,777.5,2.6,12.8,3.77276093809464,2.54944517092557,37.56,5.94
Rhode Island,1.3,2.4,3.7,62.1,2.7,1.1,1.30833281965018,0.09531017980432,4.49,-0.79
South Carolina,6.2,7.4,13.6,228.2,3.0,5.1,2.61006979274201,1.62924053973028,15.80,-2.20
South Dakota,1.0,1.6,2.6,51.6,2.9,0.9,0.95551144502744,-0.10536051565783,3.92,-1.32
Tennessee,4.8,8.7,13.5,357.5,3.0,6.8,2.60268968544438,1.91692261218206,20.60,-7.10
Texas,32.8,62.6,95.3,1703.1,2.4,28.7,4.55702981066016,3.35689712276558,82.50,12.80
Utah,6.1,4.6,10.8,171.7,3.4,3.2,2.37954613413017,1.16315080980568,10.43,0.37
Vermont,1.3,1.2,2.5,33.4,2.5,0.6,0.91629073187416,-0.51082562376599,3.08,-0.58
Virginia,11.2,17.0,28.3,531.6,2.5,8.5,3.34286180464919,2.14006616349627,25.41,2.89
Washington,10.7,13.9,24.6,517.8,3.6,7.5,3.20274644293832,2.01490302054226,22.58,2.02
West Virginia,2.8,3.2,6.1,77.0,1.9,1.8,1.80828877117927,0.58778666490212,6.47,-0.37
Wisconsin,6.5,13.4,19.9,332.9,2.6,5.8,2.99071973173045,1.75785791755237,17.77,2.13
Wyoming,0.8,1.8,2.6,38.5,1.1,0.6,0.95551144502744,-0.51082562376599,3.08,-0.48
