Type,Beer,Brewer,Calories,Carbo(g),Alcohol(pct)
Imported,Amstel,Amstel Brouwerij B.V. (Holland),,10.65,
Imported,Amstel Light,Amstel Brouwerij B.V. (Holland),99,5.33,3.9
Imported,Asahi Draft Beer,Asahi (Japan),146,,5.0
Imported,Bass & Cos Pale Ale,Bass (England),160,,5.5
Imported,Beamish Irish Cream Stout,Beamish - Crawford (Ireland),146,,4.9
Imported,Becks Beer,Brauerei Beck (Germany),143,10.00,5.0
Imported,Becks Light,Brauerei Beck (Germany),64,3.90,2.3
Imported,Becks Dark,Brauerei Beck (Germany),146,11.00,4.8
Imported,Carlsburg,,,7.80,0.0
Imported,Carlsburg Light,,,9.90,0.0
Imported,Cerveza Carta Blanca,Cerveceria Cauhtemoc (Mexico),128,,4.0
Imported,Cerveza Tecate Beer,Cervecerla Cauhtemoc (Mexico),146,,4.4
Imported,Chester Golden Ale,Greenall Whitley (England),156,,5.4
Imported,Coopers Draught,Coopers,,7.00,0.0
Imported,Coopers Stout,,,10.90,0.0
Imported,Coopers Pale Ale,,,5.90,0.0
Imported,Corona Extra Beer,Cereveria Modela SA (Mexico),148,13.99,4.6
Imported,Corona Light,Cereveria Modela SA (Mexico),,5.00,0.0
Imported,Dos Equis XX Imported Beer,Cauhtemoc (Mexico),149,,4.7
Imported,Dos Equis XX Special Lager,Cerveceria Montezuma (Mexico),156,,4.9
Imported,Dragon Stout,Desnoes - Goeddes (Jamaica),220,,6.8
Imported,Fosters Lager,Garlton & United (Australia),156,11.00,5.1
Imported,Furstenberg German Beer,Fustlich Ferstenbergische,138,,4.4
Imported,Great Wall,Green Bamboo (China),160,,4.6
Imported,Greenalls Cheshire English Pub Beer,Greenall Whitley PLC (England),142,,5.0
Imported,Grolsch Lager Beer,Grolsch Bierbrouweri (Holland),145,9.50,5.0
Imported,Guinness Extra Stout,Guinness (Ireland),153,17.40,4.3
Imported,Harp,Harp (Ireland),142,,4.6
Imported,Heineken Lager Beer,Heineken (Holland),150,11.50,5.0
Imported,Heineken Special Dark Beer,Heineken (Holland),170,,5.1
Imported,Heineken Special Light,Heineken (Holland),99,6.80,3.8
Imported,Kirin Beer,Kirin (Japan),188,,6.8
Imported,Kronenbourg Beer,Kronenbourg (France),153,,5.1
Imported,Kronenbourg Imported Dark Beer,Kronenbourg (France),163,,5.0
Imported,Labatts 50,Labatts,153,9.90,5.3
Imported,McEwans Scotch Ale,Scottish & Newcastle (Scotland),295,,9.5
Imported,Molson Canadian Beer,Molson (Canada),153,,5.1
Imported,Molson Golden Beer,Molson (Canada),170,,6.0
Imported,Molson Light,Molson (Canada),82,,2.4
Imported,Moosehead Canadian Lager Beer,Moosehead (Canada),153,,5.0
Imported,Nordik Wolf Light,A.B. Pripps Bryggerier (Sweden),110,,4.7
Imported,OKeefe Canadian Beer,OKeefe (Canada),142,,4.9
Imported,Pilsener Urquell,Beer Pilsener Urquell Pilzen (Czech.),160,14.70,4.2
Imported,Red Stripe Lager Beer,Desnoes & Geddes (Jamaica),153,,5.0
Imported,Samuel Smiths Organic Lager,Samuel Smiths Brewery,158,13.30,5.0
Imported,Sheaf Stout,Carlton & United (Australia),174,18.80,5.2
Imported,Sol Cerveza Especial,Cerveceria Montezuma (Mexico),131,,4.1
Imported,Spaten Munich Special Dark Beer,Spaten-Brau (Germany),185,,6.6
Imported,Stella Artois,,,12.78,5.2
Imported,St. Pauli Girl Beer,St. Pauli (Germany),148,8.70,4.9
Imported,St. Pauli Girl Dark Beer,St. Pauli (Germany),150,,4.8
Imported,Suntory Draft Beer,Suntory (Japan),138,,4.6
Imported,Superior Imported Beer,Cerveceria Moctezuma (Mexico),153,,4.3
Imported,Thos Cooper & Sons Adelaide Lager,Cooper & Sons (Australia),128,,4.2
Imported,Thos Cooper & Sons Real Ale,Cooper & Sons (Australia),160,,6.8
Imported,Thos Cooper & Sons Stout,Cooper & Sons (Australia),205,,7.1
Imported,Tolly Origlnal Premium Ale,Tollei-ache & Cobbold (England),146,,4.9
Imported,Tsingtao Beer,Tsingtao (China),153,,4.8
Imported,Watneys Red Barrel Beer,Stag (England),142,,3.9
Imported,Wurzburger Hofbrau,Wurtzburger Hofbrauag (Germany),160,,5.4
Imported,Wurtzburger Hofbrau Light,Wurtzburger Hofbrau Ag (Germany),153,,5.4
