Type,Beer,Brewery,Calories,Carbo(g) ,Alcohol(pct)
Domestic,American Amber Lager,Straub Brewery,136,10.5,4.1
Domestic,American Lager,Straub Brewery,132,10.5,4.1
Domestic,American Light,Straub Brewery,96,7.6,3.2
Domestic,Anchor Steam,Anchor,153,16.0,4.9
Domestic,Anheuser Busch Natural Light,Anheuser Busch,95,3.2,4.2
Domestic,Anheuser Busch Natural Ice,Anheuser Busch,157,8.9,5.9
Domestic,Aspen Edge,Adolph Coors,94,2.6,4.1
Domestic,Bards Gold (Gluten-Free),Bards Tale Beer Co,155,14.2,4.6
Domestic,Big Sky Moose Drool Brown Ale,Big Sky Brewing,177,15.6,5.2
Domestic,Big Sky Scape Goat Pale Ale,Big Sky Brewing,163,13.9,4.7
Domestic,Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,154,11.6,4.7
Domestic,Big Sky Trout Slayer Ale,Big Sky Brewing,163,13.9,4.7
Domestic,Blatz Beer,Blatz,153,12.5,4.8
Domestic,Blue Moon,Adolph Coors,171,13.7,5.4
Domestic,Breckenridge Brown Ale,Breckenridge Brewery,196,21.9,5.6
Domestic,Breckenridge Red Ale,Breckenridge Brewery,193,21.8,5.5
Domestic,Bud Dry,Budweiser,130,7.8,5
Domestic,Bud Ice,Budweiser,123,8.9,5.5
Domestic,Bud Ice Light,Budweiser,115,7.5,5
Domestic,Bud Light,Budweiser,110,6.6,4.2
Domestic,Bud Light Lime,Budweiser,116,8.0,4.2
Domestic,Bud Light Platinum,Budweiser,137,4.4,6
Domestic,Budweiser,Budweiser,145,10.6,5
Domestic,Budweiser Black Crown,Budweiser,146,10.0,6
Domestic,Budweiser Select,Budweiser,99,3.1,4.3
Domestic,Budweiser Select 55,Budweiser,55,1.9,2.4
Domestic,Busch Beer,Anheuser Busch,133,10.2,4.6
Domestic,Busch Ice,Anheuser Busch,169,12.5,5.9
Domestic,Busch Light,Anheuser Busch,95,3.2,4.1
Domestic,Carling Black Label,G. Heileman,138,12.5,4.3
Domestic,Colt 45 Malt Liquor,G. Heileman,174,11.1,6.1
Domestic,Coors,MillerCoors,149,12.2,4.9
Domestic,Coors Light,MillerCoors,104,5.3,4.2
Domestic,Deschutes Twilight Summer Ale,Deschutes Brewery,162,9.6,5
Domestic,Deschutes Chainbreaker White IPA,Deschutes Brewery,180,10.8,5.6
Domestic,Deschutes Pinedrops IPA,Deschutes Brewery,190,11.0,6.5
Domestic,Extra Gold Lager,MillerCoors,152,12.5,5
Domestic,Flying Dog Dog Schwarz,Flying Dog Brewery,222,14.3,7.8
Domestic,Flying Dog Doggie Style,Flying Dog Brewery,158,11.4,4.7
Domestic,Flying Dog DogtoberFest,Flying Dog Brewery,165,12.3,5.6
Domestic,Flying Dog Double Dog,Flying Dog Brewery,313,16.6,11.5
Domestic,Flying Dog Garde Dog,Flying Dog Brewery,150,9.3,5.5
Domestic,Flying Dog Gonzo,Flying Dog Brewery,271,18.9,9.2
Domestic,Flying Dog Horn Dog,Flying Dog Brewery,314,21.5,10.2
Domestic,Flying Dog In Heat Wheat,Flying Dog Brewery,138,10.4,4.7
Domestic,Flying Dog K-9 Cruiser,Flying Dog Brewery,197,10.6,7.4
