Country,Ccode,BirthRate,Users,LogBirth,LogUsers,UsersPreviousYear
Aruba,ABW,11.323,57,11.32,4.04,42
Angola,AGO,40.838,15,40.84,2.69,10
Albania,ALB,12.748,49,12.75,3.89,45
United Arab Emirates,ARE,12.755,70,12.76,4.25,68
Argentina,ARG,17.006,48,17.01,3.87,40
Burundi,BDI,33.722,1,33.72,0.10,1
Benin,BEN,39.073,4,39.07,1.25,3
Burkina Faso,BFA,42.914,3,42.91,1.10,2
Bangladesh,BGD,19.966,5,19.97,1.61,4
Bahrain,BHR,18.943,77,18.94,4.34,55
"Bahamas, The",BHS,15.366,65,15.37,4.17,43
Bosnia and Herzegovina,BIH,8.405,60,8.41,4.09,52
Bolivia,BOL,26.146,30,26.15,3.40,22
Brazil,BRA,15.215,45,15.22,3.81,41
Barbados,BRB,10.859,72,10.86,4.27,70
Brunei Darussalam,BRN,18.796,56,18.80,4.03,53
Bhutan,BTN,20.06,21,20.06,3.04,14
Botswana,BWA,23.288,7,23.29,1.95,6
Central African Republic,CAF,34.727,2,34.73,0.79,2
Chile,CHL,14.21,54,14.21,3.99,45
Cote d'Ivoire,CIV,33.553,2,33.55,0.79,2
Cameroon,CMR,35.703,5,35.70,1.61,4
"Congo, Dem. Rep.",COD,42.904,1,42.90,0.18,1
"Congo, Rep.",COG,35.035,6,35.04,1.72,5
Colombia,COL,19.404,40,19.40,3.70,37
Cape Verde,CPV,20.31,32,20.31,3.47,30
Costa Rica,CRI,15.505,42,15.51,3.74,37
Cuba,CUB,9.739,23,9.74,3.15,16
Cyprus,CYP,11.581,58,11.58,4.05,53
Djibouti,DJI,28.703,7,28.70,1.95,7
Dominican Republic,DOM,21.437,36,21.44,3.57,31
Algeria,DZA,19.811,14,19.81,2.64,13
Ecuador,ECU,20.309,31,20.31,3.45,29
"Egypt, Arab Rep.",EGY,22.835,36,22.84,3.57,30
Eritrea,ERI,35.514,6,35.51,1.82,5
Ethiopia,ETH,30.777,1,30.78,0.10,1
Fiji,FJI,21.19,28,21.19,3.33,20
Gabon,GAB,27.051,8,27.05,2.08,7
Ghana,GHA,31.069,14,31.07,2.65,10
Guinea,GIN,38.376,1,38.38,0.26,1
"Gambia, The",GMB,37.591,11,37.59,2.39,9
Guinea-Bissau,GNB,37.948,3,37.95,0.98,2
Guatemala,GTM,31.975,12,31.98,2.46,11
Guyana,GUY,17.806,32,17.81,3.47,30
Honduras,HND,26.327,16,26.33,2.77,11
Indonesia,IDN,17.866,18,17.87,2.89,11
India,IND,21.82,10,21.82,2.31,8
Kenya,KEN,37.357,28,37.36,3.33,14
Cambodia,KHM,22.129,3,22.13,1.13,1
Lao PDR,LAO,22.321,9,22.32,2.20,7
Lebanon,LBN,15.16,52,15.16,3.95,44
Liberia,LBR,38.512,3,38.51,1.10,2
Libya,LBY,22.575,17,22.58,2.83,14
St. Lucia,LCA,12.8,42,12.80,3.74,40
Lesotho,LSO,27.515,4,27.52,1.44,4
"Macao SAR, China",MAC,9.895,58,9.90,4.06,54
Morocco,MAR,19.21,51,19.21,3.93,49
Moldova,MDA,12.266,38,12.27,3.63,32
Madagascar,MDG,34.958,2,34.96,0.64,2
Maldives,MDV,16.634,34,16.63,3.53,28
"Macedonia, FYR",MKD,10.643,57,10.64,4.04,52
Mali,MLI,45.867,2,45.87,0.69,2
Myanmar,MMR,17.033,1,17.03,-0.02,0
Montenegro,MNE,12.154,40,12.15,3.69,38
Mongolia,MNG,23.333,20,23.33,3.00,13
Mozambique,MOZ,37.105,4,37.11,1.46,4
Mauritania,MRT,33.324,5,33.32,1.50,4
Mauritius,MUS,11.5,36,11.50,3.57,29
Malawi,MWI,44.407,3,44.41,1.20,2
Malaysia,MYS,20.036,61,20.04,4.11,56
Namibia,NAM,25.839,12,25.84,2.48,12
Niger,NER,48.19,1,48.19,0.26,1
Nigeria,NGA,39.663,28,39.66,3.35,24
Nicaragua,NIC,23.444,11,23.44,2.36,10
Nepal,NPL,23.65,9,23.65,2.20,8
New Zealand,NZL,14.27,86,14.27,4.46,83
Oman,OMN,17.507,68,17.51,4.22,62
Panama,PAN,19.55,43,19.55,3.75,40
Peru,PER,20.057,37,20.06,3.60,35
Philippines,PHL,24.807,29,24.81,3.37,25
Papua New Guinea,PNG,29.715,2,29.72,0.69,1
Paraguay,PRY,23.972,24,23.97,3.17,20
French Polynesia,PYF,16.708,49,16.71,3.89,49
Qatar,QAT,12.193,86,12.19,4.46,82
Rwanda,RWA,40.925,7,40.93,1.95,8
Senegal,SEN,36.837,18,36.84,2.86,16
Solomon Islands,SLB,31.326,6,31.33,1.79,5
El Salvador,SLV,20.16,18,20.16,2.87,16
Sao Tome and Principe,STP,30.669,20,30.67,3.00,19
Suriname,SUR,18.127,32,18.13,3.47,32
Swaziland,SWZ,29.087,20,29.09,3.02,12
Chad,TCD,44.213,2,44.21,0.64,2
Togo,TGO,31.593,4,31.59,1.25,3
Thailand,THA,11.859,24,11.86,3.17,22
Tajikistan,TJK,27.773,13,27.77,2.57,12
Turkmenistan,TKM,21.425,5,21.43,1.61,3
Timor-Leste,TLS,38.149,1,38.15,-0.12,0
Tonga,TON,26.617,25,26.62,3.22,16
Trinidad and Tobago,TTO,14.591,55,14.59,4.01,49
Turkey,TUR,17.511,42,17.51,3.74,40
Tanzania,TZA,41.242,12,41.24,2.48,11
Uganda,UGA,44.684,13,44.68,2.57,13
St. Vincent and the Grenadines,VCT,16.797,43,16.80,3.76,39
"Yemen, Rep.",YEM,37.767,15,37.77,2.70,12
Zambia,ZMB,45.927,12,45.93,2.44,10
Zimbabwe,ZWE,29.003,16,29.00,2.75,12
