State,Undergrads,LogUndergrads,Population,UGradPerThou,LogUGradPerThou
Wyoming,30928,10.3394172014481,512573,60.3387224844071,4.09997406155463
Vermont,34923,10.4609009169164,620196,56.3096182497146,4.03086535980321
North Dakota,44042,10.6928990030661,636453,69.1991396065381,4.23698842911480
Alaska,27463,10.2205949231726,676301,40.6076584242815,3.70395667995901
South Dakota,42985,10.6686064966085,787380,54.5924458330158,3.99989551847229
Delaware,42488,10.6569769621022,850366,49.9643682837743,3.91131011705909
Montana,42990,10.6687228094903,945428,45.4714690066298,3.81708507447647
Rhode Island,71175,11.1728969121462,1058991,67.2102029195716,4.20782506516451
Hawaii,57527,10.9600096817916,1275264,45.1098752885677,3.80910118680925
New Hampshire,59405,10.9921336768924,1308824,45.3880735683331,3.81524937380372
Maine,58512,10.9769871403892,1313355,44.5515492764713,3.79664692943945
Idaho,70754,11.1669643510098,1461183,48.4224084183843,3.87996269042955
Nebraska,105611,11.5675178114960,1759779,60.0137858219697,4.09457429952996
West Virginia,87292,11.3770140995989,1806760,48.3141092342093,3.87772363465106
New Mexico,115875,11.6602673028682,1937916,59.7936133454701,4.09089885501006
Nevada,100760,11.5204967304665,2484196,40.5604066667847,3.70279238553406
Utah,183518,12.1200680343090,2585155,70.9891669938553,4.26252728784884
Kansas,168244,12.0331705856527,2756267,61.0405305436665,4.11153807867608
Arkansas,132112,11.7914053266572,2804199,47.1122056601546,3.85253211097819
Mississippi,134699,11.8107979384659,2896713,46.5006371014319,3.83946601360551
Iowa,212715,12.2677085205636,2967270,71.6871063300610,4.27231090340195
Connecticut,142926,11.8700822927843,3487896,40.9777126382209,3.71302832471369
Oklahoma,182340,12.1136283551389,3568132,51.1023695311721,3.93383086660762
Oregon,170742,12.0479089242125,3680968,46.3850813155670,3.83697788416109
Kentucky,219194,12.2977124614186,4199440,52.1960070866592,3.95500599937015
Louisiana,194567,12.1785318557311,4243634,45.8491472167487,3.82535659911290
South Carolina,187254,12.1402212629671,4324799,43.2977347617774,3.76810031866947
Alabama,220520,12.3037436727036,4587564,48.0690841588259,3.87263922948443
Colorado,255412,12.4506332065982,4751474,53.7542665707526,3.98442304191801
Minnesota,289018,12.5742442488920,5143134,56.1949192846230,4.02882634862474
Wisconsin,300932,12.6146396045874,5568505,54.0417939824064,3.98975770984680
Maryland,255933,12.4526709704574,5602258,45.6839010270502,3.82174596071745
Missouri,306201,12.6319970280397,5832977,52.4948066827625,3.96071424437631
Tennessee,250974,12.4331046270912,6068306,41.3581648651205,3.72226985941698
Arizona,476547,13.0743216330989,6178251,77.1329944348328,4.34553113241067
Indiana,317963,12.6696903027916,6294124,50.5174349917479,3.92231852405850
Washington,314862,12.6598897265779,6360529,49.5024863497989,3.90202289760206
Massachusetts,335511,12.7234100217416,6443424,52.0702967863049,3.95259466691476
Virginia,387593,12.8677110989801,7628347,50.8095659518373,3.92808464299559
New Jersey,326358,12.6957502173220,8640218,37.7719636240660,3.63156712436070
North Carolina,436662,12.9869147194292,8845343,49.3663162638238,3.89926833461605
Georgia,378947,12.8451516325971,9318715,40.6651560864347,3.70537160995970
Michigan,545001,13.2085429085061,10083878,54.0467665316855,3.98984971864512
Ohio,533652,13.1874992201098,11458390,46.5730351297172,3.84102172836677
Pennsylvania,585006,13.2793773825717,12388055,47.2233938257459,3.85488940170798
Illinois,688043,13.4416066149624,12759673,53.9232470926175,3.98756168535128
