Rank,Company,BrandValue,OneYearChange,Revenue,Advertising,Industry
1,Apple,170,0.1,214.2,1.8,Technology
2,Google,101.8,0.23,80.5,3.9,Technology
3,Microsoft,87,0.16,85.3,1.6,Technology
4,Facebook,73.5,0.4,25.6,0.31,Technology
5,Coca-Cola,56.4,-0.04,23,4,Beverages
6,Amazon,54.1,0.54,133,5,Technology
7,Disney,43.9,0.11,30.7,2.9,Leisure
8,Toyota,41.1,-0.02,168.8,4.3,Automotive
9,McDonald's,40.3,0.03,85,0.646,Restaurants
10,Samsung,38.2,0.06,166.7,3.7,Technology
11,GE,37.9,0.03,100.3,,Diversified
12,AT&T,36.7,0.12,163.8,3.8,Telecom
13,IBM,33.3,-0.2,79.9,1.3,Technology
14,Intel,31.4,0.13,59.4,1.8,Technology
15,Cisco,30.7,0.08,48.6,0.186,Technology
16,NIKE,29.6,0.08,31.7,3.3,Apparel
17,Mercedes-Benz,29.2,0.12,108.6,,Automotive
18,Oracle,29.2,0.04,37.4,0.068,Technology
19,Verizon,28.9,0.12,126,2.7,Telecom
20,Louis Vuitton,28.8,0.06,9.9,4.7,Luxury
21,BMW,28.7,0,83,,Automotive
22,Budweiser,24.6,0.05,11.1,,Alcohol
23,American Express,24.5,0.01,33.8,3.7,Financial Services
24,Walmart,24.1,-0.05,326.3,2.9,Retail
25,Marlboro,24.1,0.1,23.8,0.432,Tobacco
26,Honda,24,-0.05,113.3,,Automotive
27,SAP,23.8,0.1,25.9,,Technology
28,Visa,21.4,0.11,15.1,,Financial Services
29,Gillette,19.2,-0.05,6.8,7.2,Consumer Packaged Goods
30,Pepsi,18.2,-0.06,9.5,2.5,Beverages
31,Nescafe,16.8,0.03,8.9,,Beverages
32,ESPN,15.8,-0.07,11.8,2.9,Media
33,L'Oreal,15.6,0.06,9.7,8,Consumer Packaged Goods
34,Home Depot,14.9,0.09,94.6,0.789,Retail
35,Starbucks,14.9,0.24,20.8,0.249,Restaurants
36,H&M,14.2,-0.11,21.6,,Retail
37,Audi,14.1,0,57.6,,Automotive
38,Accenture,14,0.08,35.7,0.081,Business Services
39,Ford,13.8,-0.02,146.3,4.3,Automotive
40,Frito-Lay,13.6,0.01,11.2,2.5,Consumer Packaged Goods
41,IKEA,13.5,0.14,37.3,,Retail
42,HP,13.2,-0.04,98.3,0.586,Technology
43,Wells Fargo,13.2,0.04,94.2,0.595,Financial Services
44,Hermes,13,0.11,5.5,0.258,Luxury
45,UPS,12.9,-0.01,60.9,,Transportation
46,CVS,12.9,0.09,177.5,0.216,Retail
47,Gucci,12.7,0.05,4.7,,Luxury
48,Pampers,11.6,0,9,7.2,Consumer Packaged Goods
49,Siemens,11.5,0.1,84.7,,Diversified
50,HSBC,11.4,-0.18,72.4,,Financial Services
51,Zara,11.3,0.06,17.2,,Retail
52,Mastercard,11.3,0.08,10.8,0.811,Financial Services
53,J.P. Morgan,11.2,0.09,47.3,2.9,Financial Services
54,Nestle,11.2,-0.03,8.5,,Consumer Packaged Goods
55,Ebay,10.9,-0.03,8,1.2,Technology
56,Fox,10.7,-0.04,15.5,2.4,Media
57,Chevrolet,10.3,0.05,84.4,5.3,Automotive
58,Danone,10.2,-0.04,10.2,,Consumer Packaged Goods
59,Colgate,9.8,0.06,5.2,1.4,Consumer Packaged Goods
60,Porsche,9.6,0.16,23.7,,Automotive
61,Cartier,9.3,-0.08,5.7,,Luxury
62,Citi,9.2,0.12,84,1.6,Financial Services
63,Kraft,9.2,0.01,6.7,0.708,Consumer Packaged Goods
64,Lexus,9.1,0.01,21.7,4.3,Automotive
65,Chase,9.1,0.07,52.4,2.9,Financial Services
66,Bank of America,9.1,0.09,75.5,1.7,Financial Services
67,Nissan,9,0.1,94.7,0.026,Automotive
68,Hyundai,8.9,0.1,77.3,1.8,Automotive
69,Rolex,8.7,-0.01,4.5,,Luxury
70,Red Bull,8.7,0.1,6.4,,Beverages
71,Netflix,8.5,0.16,8.8,0.842,Technology
72,Kellogg's,8.4,-0.07,6,0.735,Consumer Packaged Goods
73,Sony,8.3,0.1,58.5,4.2,Technology
74,Santander,8.3,0.03,45.3,0.735,Financial Services
75,Adidas,7.9,0.14,17.4,2.1,Apparel
76,LEGO,7.9,0.11,5.4,,Leisure
77,BASF,7.8,-0.02,61.2,,Diversified
78,Heineken,7.7,0.08,5.3,,Alcohol
79,T-Mobile,7.6,0.11,35.9,1.7,Telecom
80,BBVA,7.5,0.1,44.8,0.423,Financial Services
81,Corona,7.5,0.1,4.8,,Alcohol
82,Caterpillar,7.5,-0.11,38.5,,Heavy Equipment
83,FedEx,7.5,-0.03,57.6,0.417,Transportation
84,Adobe,7.4,0.18,5.8,0.136,Technology
85,Goldman Sachs,7.4,0.12,37.7,,Financial Services
86,Lowe's,7.3,0.16,65,0.893,Retail
87,Chanel,7.3,0.02,5.1,,Luxury
88,Huawei,7.3,0.09,75.5,,Technology
89,Target,7.3,0.01,69.5,1.5,Retail
90,Philips,7.2,0.06,26.1,1.2,Diversified
91,Boeing,7.1,0.02,94.6,,Aerospace
92,Subway,7.1,0,17,,Restaurants
93,Lancome,7.1,0.07,4.7,8,Consumer Packaged Goods
94,Hershey,7,0.04,4.7,0.521,Consumer Packaged Goods
95,Costco,7,0.04,121.2,,Retail
96,Walgreens,7,0.12,81.3,0.598,Retail
97,Panasonic,6.9,-0.03,63.9,,Technology
98,Nivea,6.9,0.09,4.5,1.6,Consumer Packaged Goods
99,Coach,6.8,-0.08,4.5,0.202,Luxury
100,Allianz,6.8,-0.01,117.6,,Financial Services
