NorthSouth,Grp,DBH
n,0,27.8
n,0,14.5
n,0,39.1
n,0,3.2
n,0,58.8
n,0,55.5
n,0,25
n,0,5.4
n,0,19
n,0,30.6
n,0,15.1
n,0,3.6
n,0,28.4
n,0,15
n,0,2.2
n,0,14.2
n,0,44.2
n,0,25.7
n,0,11.2
n,0,46.8
n,0,36.9
n,0,54.1
n,0,10.2
n,0,2.5
n,0,13.8
n,0,43.5
n,0,13.8
n,0,39.7
n,0,6.4
n,0,4.8
s,1,44.4
s,1,26.1
s,1,50.4
s,1,23.3
s,1,39.5
s,1,51
s,1,48.1
s,1,47.2
s,1,40.3
s,1,37.4
s,1,36.8
s,1,21.7
s,1,35.7
s,1,32
s,1,40.4
s,1,12.8
s,1,5.6
s,1,44.3
s,1,52.9
s,1,38
s,1,2.6
s,1,44.6
s,1,45.5
s,1,29.1
s,1,18.7
s,1,7
s,1,43.8
s,1,28.3
s,1,36.9
s,1,51.6
